"Gene","FN","FS","PN","PS","Trepl","Tsil"
"LOC102655688",2,4,0,2,8560,2624
"LOC102655689",3,4,0,0,6416.6669,2046.3331
"LOC102655690",3,2,4,10,7714,2603
"LOC102655693",2,1,2,1,2524.0002,1129.9998
"LOC102655697",10,4,9,13,25728.0012,9695.9988
"LOC102655703",0,5,0,5,7313.333,2736.667
"LOC102655706",0,0,2,3,726.6665,248.3335
"LOC102655709",3,4,2,0,5537.9997,2400.0003
"LOC102655710",3,3,5,17,23445.3324,12590.6676
"LOC102655712",5,5,0,1,5393.6663,1866.3337
"LOC102655723",1,3,0,1,1523.3335,546.6665
"LOC102655731",0,4,0,3,2067.3331,809.6669
"LOC102655737",2,29,2,6,93288,34593
"LOC102655741",4,2,2,3,2878.3337,1048.6663
"LOC102655754",0,5,0,0,4831.6665,1738.3335
"LOC102655756",2,3,0,2,1430.3331,564.6669
"LOC102655762",1,14,2,3,16840,5960
"LOC102655764",0,4,0,0,1318.6668,445.3332
"LOC102655768",1,1,4,4,4710,1500
"LOC102655778",5,5,0,0,14310,4770
"LOC102655783",0,1,2,4,4361,1099
"LOC102655788",3,1,0,0,1317.3332,398.6668
"LOC102655796",2,1,0,0,1368.9999,431.0001
"LOC102655798",1,4,0,0,4075,1355
"LOC102655801",0,2,2,5,2448,954
"LOC102655806",0,1,0,2,705,249
"LOC102655810",0,12,3,1,14522.6672,5109.3328
"LOC102655811",0,1,1,0,483.3334,158.6666
"LOC102655814",0,4,0,3,3215.3331,1341.6669
"LOC102655815",0,10,0,0,4560,2430
"LOC102655818",0,1,5,2,2117.3336,738.6664
"LOC102655819",6,19,8,10,89425.6681,39703.3319
"LOC102655824",0,10,2,4,18794.6672,7557.3328
"LOC102655825",1,3,5,7,13600,4544
"LOC102655834",3,4,1,8,9194.6672,2901.3328
"LOC102655836",0,2,0,0,2095.3334,730.6666
"LOC102655838",1,1,0,0,539.3334,210.6666
"LOC102655841",2,0,0,0,1545.3334,578.6666
"LOC102655844",0,1,0,5,1063.9998,556.0002
"LOC102655856",1,4,0,4,2297.9997,726.0003
"LOC102655857",5,10,2,11,25480,9212
"LOC102655858",3,2,0,0,1111.6665,478.3335
"LOC102655859",3,4,0,0,5401.6669,1885.3331
"LOC102655861",0,0,2,0,430.6666,175.3334
"LOC102655874",0,3,0,1,2041.3332,778.6668
"LOC102655877",0,1,0,0,755,259
"LOC102655879",1,1,0,0,1478,544
"LOC102655882",2,3,1,1,4685.3331,1488.6669
"LOC102655885",2,4,0,1,3824.3331,1509.6669
"LOC102655889",73,30,104,52,2490803,757057
"LOC102655890",3,3,0,0,1702.0002,619.9998
"LOC102655891",4,0,2,3,3537,1404
"LOC102655895",2,1,0,0,705,303
"LOC102655897",3,3,0,0,3576,1194
"LOC102655898",3,6,0,0,10064.9997,3192.0003
"LOC102655899",0,7,3,10,7806.666,3173.334
"LOC102655903",1,0,0,0,249.3333,95.6667
"LOC102655904",0,2,0,0,666.6666,245.3334
"LOC102655905",1,2,0,0,968.0001,309.9999
"LOC102655910",0,0,1,6,1430.3331,564.6669
"LOC102655911",1,1,2,0,1073.3332,378.6668
"LOC102655919",3,2,9,9,19128.3341,6746.6659
"LOC102655922",1,7,0,3,7692.6663,3032.3337
"LOC102655924",1,0,5,2,2058.6664,821.3336
"LOC102655926",2,1,1,3,2529.3331,1103.6669
"LOC102655928",4,0,0,4,3117.3336,1250.6664
"LOC102655932",0,3,0,0,1161.9999,440.0001
"LOC102655934",0,11,1,4,11349.3328,4154.6672
"LOC102655945",0,3,0,0,1968.9999,722.0001
"LOC102655948",1,1,0,0,1203.3334,440.6666
"LOC102655950",1,5,0,1,4370.3331,1530.6669
"LOC102655953",6,5,0,1,10815.9996,3764.0004
"LOC102655961",1,1,0,1,690,291
"LOC102655970",5,6,0,6,5564.6661,1728.3339
"LOC102655971",2,3,0,1,6714,2106
"LOC102655973",1,3,1,3,4360,1544
"LOC102655978",0,4,0,2,3930,1524
"LOC102655979",0,2,0,0,524,250
"LOC102655980",2,31,5,10,229167.9984,83168.0016
"LOC102655983",7,10,0,0,13503.6661,4601.3339
"LOC102655993",10,10,0,1,24954.9993,8498.0007
"LOC102655994",4,8,1,0,14898,4641
"LOC102656008",5,4,4,4,12551.6661,5400.3339
"LOC102656009",1,2,0,0,1929.9999,662.0001
"LOC102656020",1,1,0,0,381.3334,140.6666
"LOC102656021",2,2,0,0,6718.6668,2689.3332
"LOC102656023",2,1,0,2,2248.3335,766.6665
"LOC102656029",1,5,0,3,7242.0003,3422.9997
"LOC102656037",0,0,3,0,816.9999,317.0001
"LOC102656041",3,1,0,0,1148,472
"LOC102656048",3,7,0,4,8815.3338,3364.6662
"LOC102656055",3,3,0,0,4525.9998,1558.0002
"LOC102656059",0,2,1,2,1186.6665,493.3335
"LOC102656061",3,0,4,4,2951.6663,843.3337
"LOC102656065",4,1,4,1,4226.667,1863.333
"LOC102656070",0,25,0,0,28658.3325,13266.6675
"LOC102656074",0,4,0,0,1812,720
"LOC102656082",11,27,3,4,141420.0015,57569.9985
"LOC102656088",9,7,3,12,43503.3323,15365.6677
"LOC102656093",1,1,0,1,3933,1359
"LOC102656095",2,3,1,1,1960,749
"LOC102656098",0,1,0,1,527.3334,180.6666
"LOC102656101",2,2,3,2,4925.9997,1527.0003
"LOC102656107",3,7,0,1,8946.6663,2933.3337
"LOC102656110",0,1,0,0,268.6667,94.3333
"LOC102656112",4,1,2,8,6325.0005,2359.9995
"LOC102656116",3,1,0,0,1149.3332,386.6668
"LOC102656132",1,1,0,0,666,234
"LOC102656134",0,4,1,0,5483.3335,2046.6665
"LOC102656137",9,6,0,0,18040.0005,4999.9995
"LOC102656142",7,10,0,0,23505.3339,7604.6661
"LOC102656143",1,3,0,0,1541.3332,570.6668
"LOC102656154",9,9,5,2,52150,17075
"LOC102656155",2,3,0,1,3802.0002,1255.9998
"LOC102656160",1,0,0,0,215.6667,87.3333
"LOC102656166",3,13,0,0,37248,11952
"LOC102656170",1,6,0,0,3941,1750
"LOC102656182",3,2,2,0,2534,1015
"LOC102656183",2,3,0,0,1756.6665,613.3335
"LOC102656185",1,0,1,2,1249.3332,418.6668
"LOC102656186",0,5,0,4,3651.0003,1235.9997
"LOC102656190",1,5,1,3,10113.333,3716.667
"LOC102656198",7,25,8,22,184760,74152
"LOC102656199",5,1,0,0,5938.0002,1621.9998
"LOC102656215",1,2,0,0,1278.9999,440.0001
"LOC102656216",0,0,4,2,1738.0002,583.9998
"LOC102656217",9,0,19,8,76860,24984
"LOC102656221",1,1,6,4,5532,2064
"LOC102656222",0,0,2,0,450.6666,149.3334
"LOC102656224",2,0,0,0,474.6666,209.3334
"LOC102656230",0,1,0,0,229,83
"LOC102656231",0,5,0,0,3183.3335,1376.6665
"LOC102656244",1,4,0,1,1990.0002,709.9998
"LOC102656245",4,24,1,7,86688,28656
"LOC102656247",7,6,0,0,18871.6671,5113.3329
"LOC102656248",3,4,5,5,12608.3339,5292.6661
"LOC102656268",1,1,0,0,361.3334,142.6666
"LOC102656271",1,3,0,0,1608,468
"LOC102656273",0,1,0,0,674.6667,285.3333
"LOC102656283",7,4,4,0,22335,8175
"LOC102656291",1,2,0,0,1131,381
"LOC102656292",0,0,4,3,1138.6669,373.3331
"LOC102656294",3,17,1,4,31008.3325,11441.6675
"LOC102656303",1,1,0,0,1230,504
"LOC102656311",0,2,0,1,1244.0001,447.9999
"LOC102656322",0,10,0,1,4319.3337,1686.6663
"LOC102656326",1,6,0,0,5744.6669,1857.3331
"LOC102656334",6,2,0,2,5490,1650
"LOC102656335",2,0,0,0,434.6666,195.3334
"LOC102656337",0,1,0,0,477,159
"LOC102656343",1,6,0,4,3054.3337,1367.6663
"LOC102656347",1,0,6,3,2770,860
"LOC102656349",0,1,3,0,1010.6668,417.3332
"LOC102656352",0,1,1,1,713.0001,348.9999
"LOC102656354",0,2,0,1,782.0001,297.9999
"LOC102656356",1,13,3,1,16925.9994,6942.0006
"LOC102656357",1,5,0,0,5034,1824
"LOC102656360",3,1,0,0,3221.3332,966.6668
"LOC102656369",8,5,1,2,32618.6672,9093.3328
"LOC102656371",4,8,7,13,45216,16992
"LOC102656381",0,1,0,0,759.3333,317.6667
"LOC102656383",0,1,10,2,1620.6671,602.3329
"LOC102656384",1,0,0,0,446,136
"LOC102656387",2,4,0,0,1603.9998,664.0002
"LOC102656393",3,8,0,0,6926.3337,2214.6663
"LOC102656395",0,1,0,1,1060,374
"LOC102656397",6,1,0,1,4789.3336,1426.6664
"LOC102656398",4,5,9,6,18688.0008,6295.9992
"LOC102656402",1,3,2,5,5170,1925
"LOC102656403",0,0,1,0,355.3333,127.6667
"LOC102656412",0,3,1,0,1237.3332,502.6668
"LOC102656419",1,4,0,3,3154.6664,1261.3336
"LOC102656423",1,0,7,3,2368.6663,997.3337
"LOC102656424",1,0,4,1,1668,636
"LOC102656425",2,1,0,0,975.9999,266.0001
"LOC102656428",0,2,12,10,13072.0008,4639.9992
"LOC102656429",0,4,0,2,5833.9998,1960.0002
"LOC102656432",2,0,0,0,834,342
"LOC102656433",1,3,0,0,2738.6668,921.3332
"LOC102656434",0,2,2,1,1680,690
"LOC102656439",4,9,0,1,15708,5460
"LOC102656444",13,6,0,0,37284.3327,11165.6673
"LOC102656448",3,5,0,0,6429.3336,2258.6664
"LOC102656463",0,3,0,4,2877,1260
"LOC102656464",0,1,0,5,1963.9998,646.0002
"LOC102656465",2,0,0,0,418,146
"LOC102656466",0,2,2,1,3218.3335,1251.6665
"LOC102656479",2,1,0,0,783,306
"LOC102656487",3,2,3,5,8978.6671,2877.3329
"LOC102656489",4,6,0,3,7072,2678
"LOC102656490",8,7,3,5,31027,11546
"LOC102656491",0,3,0,0,644.0001,219.9999
"LOC102656492",7,13,0,0,73393.334,22666.666
"LOC102656497",2,7,0,3,6375.9996,2408.0004
"LOC102656501",0,1,0,1,3295.3334,1120.6666
"LOC102656504",3,0,0,0,2397,672
"LOC102656505",0,2,0,0,719.3334,264.6666
"LOC102656514",4,1,0,0,1343.3335,396.6665
"LOC102656515",2,8,0,5,6925.0005,2479.9995
"LOC102656517",0,0,2,0,574.6666,115.3334
"LOC102656529",5,5,0,0,13630,4430
"LOC102656541",0,2,0,0,2345.3334,738.6666
"LOC102656543",0,3,0,0,779.0001,264.9999
"LOC102656544",3,2,1,3,5400,1755
"LOC102656545",0,2,0,1,527.0001,174.9999
"LOC102656548",0,5,0,5,6476.667,2253.333
"LOC102656552",1,3,0,5,2556,1062
"LOC102656554",0,0,5,2,1087.3331,424.6669
"LOC102656560",6,15,5,7,39754.0011,14101.9989
"LOC102656567",3,0,0,0,1227,465
"LOC102656570",7,11,3,8,39720.3343,15959.6657
"LOC102656577",0,1,0,0,117.3333,32.6667
"LOC102656579",4,1,0,0,2021.6665,678.3335
"LOC102656583",0,3,0,1,2492,940
"LOC102656585",1,8,0,3,6735.9996,2804.0004
"LOC102656587",0,1,0,0,453,153
"LOC102656594",1,1,0,1,1149.9999,416.0001
"LOC102656595",0,0,2,1,789.9999,344.0001
"LOC102656599",4,1,0,0,1183.3335,421.6665
"LOC102656610",1,0,3,0,1677.3332,602.6668
"LOC102656611",0,7,3,15,22266.6675,8333.3325
"LOC102656613",0,1,0,3,1325.3332,510.6668
"LOC102656615",2,2,1,0,4601.6665,1458.3335
"LOC102656618",4,12,1,4,26781.9993,11837.0007
"LOC102656620",4,9,0,0,27213.3329,8042.6671
"LOC102656629",1,2,5,1,2313,873
"LOC102656637",2,1,0,0,1196.0001,459.9999
"LOC102656639",2,6,6,4,23747.9994,8922.0006
"LOC102656640",4,9,1,8,17842,6776
"LOC102656645",0,7,0,2,6597,2205
"LOC102656647",0,0,0,1,288,114
"LOC102656648",0,0,4,3,1514.3331,606.6669
"LOC102656652",2,2,0,0,1274.6668,453.3332
"LOC102656653",1,2,2,2,1614.6669,821.3331
"LOC102656655",4,11,2,3,35680,14000
"LOC102656656",4,10,3,2,31559,12730
"LOC102656661",2,20,8,20,143116.665,64333.335
"LOC102656663",1,0,3,10,7877.3338,2874.6662
"LOC102656664",12,9,1,3,30583.3325,11041.6675
"LOC102656667",1,3,0,0,1413.3332,650.6668
"LOC102656669",0,4,1,4,3224.9997,1149.0003
"LOC102656681",0,0,1,4,1365,450
"LOC102656685",1,1,0,0,436,146
"LOC102656701",2,9,6,11,21989.3324,7998.6676
"LOC102656708",3,12,0,7,19609.3326,6922.6674
"LOC102656714",1,3,1,4,3309.0003,1226.9997
"LOC102656719",0,3,0,0,1104,372
"LOC102656725",3,1,0,0,1013.3332,294.6668
"LOC102656730",0,1,0,1,561.3334,212.6666
"LOC102656732",2,6,4,2,8451.3338,2930.6662
"LOC102656733",6,2,0,0,3629.3336,1146.6664
"LOC102656738",3,4,0,1,4690.6664,1933.3336
"LOC102656757",0,0,4,5,6185.9997,2076.0003
"LOC102656758",1,0,0,0,241.3333,70.6667
"LOC102656761",3,7,2,3,11865,3885
"LOC102656766",4,3,4,3,11186,4018
"LOC102656777",1,1,1,0,798.9999,335.0001
"LOC102656779",3,5,0,0,3328,1112
"LOC102656784",1,0,1,0,556,236
"LOC102656790",0,1,2,0,633.9999,239.0001
"LOC102656792",1,2,0,0,1551.9999,536.0001
"LOC102656796",8,1,0,0,5411.9997,1527.0003
"LOC102656799",0,1,0,2,728.0001,306.9999
"LOC102656805",6,9,1,4,18300,5580
"LOC102656809",2,16,1,4,24012,8418
"LOC102656812",3,4,0,0,4804.3331,1558.6669
"LOC102656821",0,1,0,0,246,87
"LOC102656822",4,9,6,4,52831,20378
"LOC102656824",3,5,3,12,26956,5819
"LOC102656830",5,7,2,6,15186.666,4853.334
"LOC102656838",2,16,10,25,48336,19239
"LOC102656840",4,5,1,1,17688,6039
"LOC102656841",3,0,0,0,3038.0001,948.9999
"LOC102656882",9,17,3,14,48647.3319,17916.6681
"LOC102656885",2,2,1,2,2650.6669,856.3331
"LOC102656891",2,4,1,1,1853.3336,762.6664
"LOC102656893",0,4,0,0,2532,912
"LOC102656898",0,0,2,0,582.6666,239.3334
"LOC102656900",1,5,0,0,2064,798
"LOC102656904",5,1,5,6,14535,5355
"LOC102656905",0,7,0,0,3826.6669,1549.3331
"LOC102656907",2,7,2,2,11968.6671,4060.3329
"LOC102656914",0,2,0,0,1043.3334,324.6666
"LOC102656916",0,0,2,0,412,158
"LOC102656934",0,2,0,0,2427.3334,812.6666
"LOC107963958",0,6,0,0,5406,2010
"LOC107963959",1,24,2,12,34827,15834
"LOC107963960",0,1,0,0,584,202
"LOC107963961",3,1,0,0,6076,1868
"LOC107963962",1,2,0,0,1761,579
"LOC107963964",1,7,2,5,16639.9995,6040.0005
"LOC107963965",0,2,0,0,684.6666,245.3334
"LOC107963966",4,3,6,7,19420,6080
"LOC107963967",3,2,2,2,1653.0003,479.9997
"LOC107963968",2,4,0,0,5748,1938
"LOC107963969",0,0,5,2,4382,1750
"LOC107963970",0,0,3,5,3874.6664,1501.3336
"LOC107963971",2,8,0,0,7173.333,2696.667
"LOC107963972",4,1,0,0,1725,495
"LOC107963973",3,2,0,0,5465,1705
"LOC107963974",1,3,1,3,2418.6664,869.3336
"LOC107963975",1,3,2,3,4587.0003,1433.9997
"LOC107963978",5,2,0,0,12933.6669,3782.3331
"LOC107963979",4,9,1,2,30853.3328,9994.6672
"LOC107963980",0,3,0,0,1911,672
"LOC107963982",0,1,0,0,1174,518
"LOC107963983",11,9,0,2,42885.3326,12884.6674
"LOC107963984",1,3,4,8,7573.3328,3370.6672
"LOC107963985",0,5,3,5,9000.3329,3206.6671
"LOC107963986",8,26,1,10,144149.9985,50250.0015
"LOC107963987",7,8,1,3,18259,7391
"LOC107963989",1,7,1,0,5436,2124
"LOC107963990",0,4,0,1,5833.3335,2206.6665
"LOC107963991",2,6,0,0,12962.6664,4653.3336
"LOC107963993",1,12,2,19,43667.3322,17532.6678
"LOC107963995",9,12,1,2,33904.0008,12535.9992
"LOC107963996",3,3,2,4,9723.9996,3884.0004
"LOC107963999",2,6,6,7,18081,6741
"LOC107964000",2,2,0,0,866.6668,273.3332
"LOC107964002",0,2,0,0,473.3334,150.6666
"LOC107964006",0,5,1,1,3392.6669,1101.3331
"LOC107964012",2,1,0,0,825.9999,236.0001
"LOC107964014",1,4,2,3,16936.667,5623.333
"LOC107964016",1,0,0,0,224.3333,84.6667
"LOC107964018",16,15,0,0,56554.3323,19519.6677
"LOC107964020",0,2,1,7,8093.333,2886.667
"LOC107964021",0,0,1,0,617,292
"LOC107964022",0,3,0,0,1643.0001,579.9999
"LOC107964023",1,5,3,4,10465,3653
"LOC107964024",9,2,9,4,25440,9192
"LOC107964025",1,8,0,0,12618,5958
"LOC107964026",3,2,0,2,3570,1155
"LOC107964039",0,1,1,1,1304.0001,567.9999
"LOC107964048",0,2,3,4,6036.0003,2522.9997
"LOC107964061",0,1,0,0,232,110
"LOC107964069",4,3,2,0,2475,900
"LOC107964072",2,3,0,0,1486.6665,613.3335
"LOC107964089",3,4,0,1,4634.6664,1701.3336
"LOC107964097",0,1,0,1,600.6666,221.3334
"LOC107964132",6,5,3,5,16606,5852
"LOC107964133",4,3,0,0,2685.6669,884.3331
"LOC107964134",0,1,0,0,146.6667,54.3333
"LOC107964135",5,5,0,2,9819.9996,3248.0004
"LOC107964141",0,0,5,4,2130.0003,920.9997
"LOC107964145",0,0,0,2,537.3334,200.6666
"LOC107964161",0,0,1,1,446.6666,177.3334
"LOC107964163",1,0,24,10,34685,16345
"LOC107964172",4,1,7,0,7716,3336
"LOC107964189",5,26,3,2,70260.0012,30179.9988
"LOC107964205",3,1,0,0,1760,484
"LOC107964206",2,3,0,0,3811.6665,1468.3335
"LOC107964207",1,1,0,0,506.6666,219.3334
"LOC107964213",0,1,0,0,866.6667,297.3333
"LOC107964236",3,2,0,0,3613.3335,1141.6665
"LOC107964258",3,5,0,9,13690.6661,4159.3339
"LOC107964259",2,2,0,0,1994.6668,657.3332
"LOC107964260",3,4,0,0,2221.3331,802.6669
"LOC107964261",6,2,14,5,23490,7776
"LOC107964262",0,3,0,2,1423.3335,526.6665
"LOC107964284",5,3,2,2,3843.9996,1556.0004
"LOC107964290",0,3,8,4,4725,1260
"LOC107964293",0,0,0,1,446.3333,171.6667
"LOC107964296",3,1,10,2,8330.6672,3141.3328
"LOC107964304",4,1,0,0,2405,805
"LOC107964308",2,0,3,1,1324.0002,529.9998
"LOC107964319",0,7,0,2,6567.0003,2639.9997
"LOC107964321",0,1,0,1,190.6666,91.3334
"LOC107964328",3,7,5,6,28098,11718
"LOC107964329",2,2,0,0,1094.6668,381.3332
"LOC107964333",2,1,4,1,2648,1072
"LOC107964335",5,7,0,2,10010,3640
"LOC107964337",0,0,2,0,586,212
"LOC107964338",0,4,0,0,2286.6668,941.3332
"LOC107964339",1,1,0,1,791.0001,279.9999
"LOC107964340",0,0,2,0,364.6666,115.3334
"LOC107964343",5,4,0,7,14490.6672,6197.3328
"LOC107964350",0,1,0,0,475.3333,145.6667
"LOC107964351",0,3,0,1,2294.6668,849.3332
"LOC107964352",0,1,1,1,672.9999,272.0001
"LOC107964355",1,2,0,0,627.9999,290.0001
"LOC107964356",3,1,0,0,1074.6668,293.3332
"LOC107964399",0,1,0,0,213.3333,83.6667
"LOC107964400",3,1,0,0,4721.3332,1470.6668
"LOC107964401",5,2,3,3,9923.3329,5442.6671
"LOC107964402",10,5,0,0,11059.9995,3610.0005
"LOC107964403",4,0,0,0,1682.6668,501.3332
"LOC107964404",0,1,0,0,60.6667,23.3333
"LOC107964405",1,2,0,0,1019.0001,303.9999
"LOC107964409",1,1,0,0,470.6666,159.3334
"LOC107964412",1,3,1,0,3846.6665,1238.3335
"LOC107964415",2,0,4,0,2206.0002,1123.9998
"LOC107964419",1,5,0,0,2682,882
"LOC107964421",0,2,0,1,1560.9999,527.0001
"LOC107964431",1,0,3,2,1530,702
"LOC107964437",7,1,0,0,3136,944
"LOC107964443",2,1,3,8,4167.3338,1586.6662
"LOC107964475",1,0,1,3,1165,440
"LOC107964478",3,2,7,1,3141.6671,992.3329
"LOC107964493",8,18,2,0,64493.3324,23202.6676
"LOC107964494",1,8,2,1,6608.0004,2355.9996
"LOC107964501",1,2,0,1,1212,408
"LOC107964502",0,1,0,0,225.3333,71.6667
"LOC107964505",1,2,1,1,1898.3335,801.6665
"LOC107964507",3,0,0,1,677.3332,222.6668
"LOC107964515",0,1,0,0,242.3333,81.6667
"LOC107964520",0,0,2,0,548.6666,201.3334
"LOC107964525",0,1,0,0,670.3333,211.6667
"LOC107964526",0,0,3,0,810,216
"LOC107964527",2,1,0,0,786,357
"LOC107964528",1,3,0,0,2025.3332,650.6668
"LOC107964529",0,1,4,2,1852.6669,646.3331
"LOC107964530",6,16,0,11,53361,16929
"LOC107964531",7,5,0,0,16080,4548
"LOC107964534",0,7,0,4,6988.6663,3010.3337
"LOC107964546",0,2,0,3,1280,460
"LOC107964558",0,2,2,1,1016.6665,468.3335
"LOC107964579",2,6,0,8,10368,3552
"LOC107964580",6,3,0,2,6655,2486
"LOC107964586",0,0,12,9,19775.0007,7125.9993
"LOC107964589",4,22,7,11,127468,60104
"LOC107964590",0,1,0,0,231,96
"LOC107964594",2,0,1,0,705,285
"LOC107964600",2,7,2,2,5598.6671,1811.3329
"LOC107964602",3,0,2,4,2124,792
"LOC107964605",0,0,2,1,774,243
"LOC107964616",1,1,3,0,1075,605
"LOC107964633",0,2,0,0,1055.3334,276.6666
"LOC107964637",0,0,8,2,4120,1760
"LOC107964640",2,0,0,0,1673.3334,564.6666
"LOC107964648",1,7,0,0,5186.6664,1701.3336
"LOC107964653",4,2,0,0,3427.9998,1126.0002
"LOC107964664",2,2,1,3,1877.3336,666.6664
"LOC107964667",0,3,0,0,1352.0001,420.9999
"LOC107964671",0,14,1,10,44533.3325,14191.6675
"LOC107964674",3,2,0,0,3235,1565
"LOC107964679",2,0,2,1,1306.6665,523.3335
"LOC107964702",3,2,0,0,1121.6665,363.3335
"LOC107964703",1,1,0,1,885,429
"LOC107964714",0,0,1,0,290.6667,99.3333
"LOC107964723",2,1,2,4,1757.9997,861.0003
"LOC107964730",1,0,0,1,370.6666,139.3334
"LOC107964732",3,11,0,1,8580,3390
"LOC107964742",3,1,3,3,3036.667,983.333
"LOC107964762",6,13,1,1,31464.9993,12005.0007
"LOC107964764",1,1,0,0,856,254
"LOC107964765",1,1,0,0,508,206
"LOC107964781",0,0,3,0,687.9999,284.0001
"LOC107964788",2,4,0,0,2622,852
"LOC107964789",0,1,0,0,181,74
"LOC107964790",2,3,1,3,4484.9997,1698.0003
"LOC107964791",10,12,8,10,75386.668,22773.332
"LOC107964800",2,0,1,1,1144,392
"LOC107964805",12,5,6,2,18050,10000
"LOC107964806",0,4,0,1,1406.6665,588.3335
"LOC107964823",0,1,2,1,1084,392
"LOC107964826",0,0,0,1,227.3333,90.6667
"LOC107964828",2,6,2,2,5280,1956
"LOC107964835",5,5,0,0,8426.667,2823.333
"LOC107964836",3,0,0,1,1786.6668,757.3332
"LOC107964838",1,0,0,0,747.3333,251.6667
"LOC107964839",11,10,1,0,77784.6674,26231.3326
"LOC107964845",2,5,2,8,14433,6324
"LOC107964853",0,2,0,2,1118.6668,405.3332
"LOC107964858",0,0,2,2,1124,424
"LOC107964863",0,1,2,2,823.3335,316.6665
"LOC107964876",0,3,0,0,531.9999,197.0001
"LOC107964880",3,1,4,3,4392.6663,2009.3337
"LOC107964884",0,4,0,0,3500,1084
"LOC107964891",0,1,0,0,452.3333,162.6667
"LOC107964895",0,1,0,0,607.3333,220.6667
"LOC107964897",0,3,2,0,1545,630
"LOC107964901",1,1,0,0,480,168
"LOC107964903",1,3,0,1,2986.6665,1033.3335
"LOC107964907",1,3,1,0,1850,730
"LOC107964911",2,5,0,8,7564.9995,2515.0005
"LOC107964934",1,4,1,5,4293.6663,1349.3337
"LOC107964935",1,0,2,2,3955,1955
"LOC107964936",1,2,2,3,2936,1576
"LOC107964937",3,3,7,0,5997.3329,2153.6671
"LOC107964944",8,8,4,4,30984,13584
"LOC107964950",0,0,0,1,335.3333,105.6667
"LOC107964957",2,3,6,6,10993.3339,5173.6661
"LOC107964962",0,7,0,18,19525,7775
"LOC107964964",1,3,0,0,1014.6668,365.3332
"LOC107964967",0,1,0,0,235.3333,103.6667
"LOC107964971",1,0,0,0,265.6667,88.3333
"LOC107964975",0,4,0,1,1431.6665,608.3335
"LOC107964981",1,1,1,1,1049.3332,378.6668
"LOC107964982",8,5,1,3,17430.6661,5723.3339
"LOC107964991",0,1,0,3,1025.3332,390.6668
"LOC107964992",0,1,0,0,455.6667,153.3333
"LOC107964994",2,1,1,1,2070,825
"LOC107964997",1,3,1,2,2044,875
"LOC107964998",14,4,1,0,24168,7296
"LOC107965004",6,7,2,1,11866.6672,4261.3328
"LOC107965005",0,1,4,5,2593.333,1066.667
"LOC107965009",2,1,8,1,8732.0004,3939.9996
"LOC107965011",1,5,1,0,3675,1365
"LOC107965020",4,11,8,22,61889.9985,27345.0015
"LOC107965022",11,6,0,0,48852.3339,16631.6661
"LOC107965024",1,3,0,0,1500,672
"LOC107965037",4,31,4,7,111611.3318,48054.6682
"LOC107965038",3,5,0,4,11444.0004,4071.9996
"LOC107965041",0,17,2,7,39962,16120
"LOC107965070",3,2,0,0,1816.6665,523.3335
"LOC107965072",1,2,0,1,1352,448
"LOC107965075",2,1,1,1,1585,590
"LOC107965098",1,2,0,4,1757,700
"LOC107965102",2,2,0,0,1082.6668,381.3332
"LOC107965115",2,1,0,0,1158.9999,398.0001
"LOC107965126",0,0,7,2,4187.9997,1158.0003
"LOC107965127",1,1,0,0,470,160
"LOC107965128",2,1,9,5,5111.3339,2028.6661
"LOC107965130",3,1,2,0,1432.0002,637.9998
"LOC107965141",1,2,0,0,1581.9999,479.0001
"LOC107965142",0,0,0,2,468,138
"LOC107965143",1,1,1,2,2160,750
"LOC107965144",4,4,2,6,8965.3328,3034.6672
"LOC107965145",1,1,0,6,3744,1296
"LOC107965147",0,0,0,4,1116,504
"LOC107965158",1,1,1,4,1850.3331,753.6669
"LOC107965161",0,1,2,0,737.0001,261.9999
"LOC107965163",4,17,8,22,66214.9983,24667.0017
"LOC107965179",0,0,0,1,307.3333,130.6667
"LOC107965181",1,4,0,0,12341.6665,4068.3335
"LOC107965184",0,1,1,1,767.0001,348.9999
"LOC107965186",0,2,3,1,2038.0002,859.9998
"LOC107965188",0,1,0,3,933.3332,362.6668
"LOC107965193",1,0,0,0,298.6667,139.3333
"LOC107965196",2,0,1,0,1004.0001,363.9999
"LOC107965197",1,0,3,2,1735.9998,748.0002
"LOC107965199",8,8,2,4,25542,8910
"LOC107965211",0,3,0,2,591.6665,233.3335
"LOC107965215",0,2,0,0,1164,414
"LOC107965219",5,5,0,1,11586.6663,4286.3337
"LOC107965225",3,2,0,0,520,185
"LOC107965231",0,1,0,0,356.3333,141.6667
"LOC107965232",4,3,0,0,2242.3331,676.6669
"LOC107965233",0,1,0,0,250,74
"LOC107965235",1,2,0,1,920,208
"LOC107965237",7,12,1,3,36018,15111
"LOC107965238",1,0,3,3,1848,693
"LOC107965240",0,1,1,1,698.0001,273.9999
"LOC107965250",0,2,0,7,3786.0003,1316.9997
"LOC107965263",3,2,0,0,1393.3335,421.6665
"LOC107965265",2,1,0,0,702,225
"LOC107965266",2,2,0,0,3949.3332,1294.6668
"LOC107965267",0,0,5,4,2135.9997,888.0003
"LOC107965279",5,9,1,0,10540.0005,3274.9995
"LOC107965280",3,0,0,0,1161.9999,395.0001
"LOC107965284",0,0,9,4,4069,1235
"LOC107965285",6,2,1,0,7317,2754
"LOC107965310",6,6,0,0,4848,1452
"LOC107965313",1,0,0,0,458.6667,147.3333
"LOC107965317",1,3,1,0,2868.3335,1061.6665
