gene,isoform,Trepl,Tsil
LOC411049,rna7874,710.3333,255.6667
LOC727230,rna12743,2797.0000,1091.0000
LOC102656679,rna27717,235.0000,71.0000
LOC107965903,rna28620,606.3333,227.6667
LOC726255,rna9663,669.3333,194.6667
LOC726039,rna21256,346.0000,131.0000
LOC107964594,rna12044,235.0000,95.0000
LOC100579052,rna1637,998.6667,318.3333
LOC727298,rna18177,2298.6667,668.3333
LOC551494,rna2903,1506.3333,488.6667
Or2,rna875,1051.0000,383.0000
LOC412059,rna10276,2077.0000,779.0000
LOC409807,rna805,935.3333,351.6667
LOC725584,rna24934,661.0000,233.0000
LOC411918,rna21072,4141.3333,1615.6667
LOC551169,rna6657,569.6667,195.3333
LOC551864,rna17474,623.6667,231.3333
LOC102656578,rna28735,569.6667,183.3333
LOC552162,rna324,959.0000,322.0000
LOC411793,rna10794,828.3333,299.6667
LOC409649,rna17988,1504.6667,586.3333
LOC100578672,rna8027,693.0000,234.0000
LOC409783,rna21399,2015.3333,897.6667
LOC726071,rna5966,1226.3333,384.6667
LOC725661,rna25355,877.0000,296.0000
LOC102656186,rna25641,405.6667,137.3333
LOC411355,rna11005,4026.6667,1517.3333
LOC724745,rna10881,408.3333,185.6667
LOC409501,rna25689,2185.3333,808.6667
LOC413005,rna10892,892.6667,361.3333
LOC100578613,rna22095,1502.6667,486.3333
LOC551541,rna8774,256.3333,100.6667
LOC726692,rna23722,286.6667,124.3333
LOC725317,rna453,1445.3333,471.6667
LOC724350,rna11251,771.6667,236.3333
Nrk1,rna16856,453.3333,137.6667
LOC411735,rna20647,2486.6667,918.3333
LOC552440,rna1926,445.3333,151.6667
Slc35b1,rna28049,638.3333,243.6667
LOC409556,rna27326,2462.6667,942.3333
LOC102656222,rna25669,225.3333,74.6667
LOC102655505,rna28975,402.6667,113.3333
LOC100578989,rna7586,359.3333,141.6667
LOC550964,rna6295,2804.0000,1075.0000
LOC102655834,rna29175,574.6667,181.3333
LOC102655036,rna28870,778.0000,257.0000
LOC102654626,rna11646,2202.6667,791.3333
LOC107963978,rna9570,1847.6667,540.3333
LOC100578045,rna25541,1771.3333,670.6667
LOC413845,rna4633,324.6667,113.3333
LOC412017,rna366,679.3333,277.6667
LOC410684,rna2897,1037.3333,417.6667
LOC727555,rna29023,377.3333,168.6667
LOC408987,rna16842,4820.3333,1641.6667
LOC100578200,rna14959,422.6667,129.3333
LOC726636,rna14351,2585.3333,948.6667
LOC102653857,rna4883,252.6667,107.3333
LOC413210,rna21121,4039.0000,1646.0000
Fabp,rna4779,300.6667,101.3333
LOC107966012,rna29082,307.3333,97.6667
LOC408414,rna22591,636.0000,219.0000
LOC410570,rna24313,1743.6667,653.3333
LOC551763,rna17869,2101.0000,710.0000
LOC724235,rna1917,484.0000,203.0000
LOC102656434,rna4035,336.0000,138.0000
LOC100577933,rna421,241.6667,100.3333
LOC724735,rna3827,288.0000,102.0000
LOC412933,rna11081,588.6667,224.3333
LOC725344,rna2224,268.6667,103.3333
Or107,rna21609,878.0000,298.0000
LOC107965875,rna28524,482.3333,201.6667
LOC409082,rna12771,2376.0000,891.0000
LOC107964012,rna3524,275.3333,78.6667
LOC410948,rna6337,1330.3333,538.6667
LOC725620,rna23314,245.6667,81.3333
Pet117,rna16806,171.3333,62.6667
LOC725941,rna15545,1824.3333,575.6667
LOC409127,rna3284,3017.6667,1233.3333
LOC100578548,rna22070,448.3333,139.6667
LOC100576617,rna22975,482.0000,220.0000
LOC413562,rna2486,3627.6667,1595.3333
LOC100578990,rna23299,558.3333,188.6667
LOC725450,rna2221,263.3333,111.6667
LOC100576384,rna26937,3193.0000,1313.0000
LOC100576534,rna17051,265.6667,97.3333
LOC100576163,rna8009,234.0000,90.0000
LOC102656501,rna10108,1647.6667,560.3333
LOC107965329,rna21238,227.6667,105.3333
LOC412918,rna2429,2003.3333,510.6667
LOC100578404,rna18701,3277.3333,1018.6667
LOC551291,rna5774,5367.6667,1889.3333
LOC107965838,rna28335,628.0000,185.0000
LOC725345,rna872,561.6667,236.3333
LOC551514,rna14472,4326.0000,1548.0000
LOC410502,rna23874,8204.3333,3144.6667
LOC551592,rna22767,1671.0000,696.0000
LOC107964936,rna16805,367.0000,197.0000
LOC100577558,rna24642,564.0000,240.0000
LOC413437,rna471,518.6667,168.3333
LOC725552,rna10492,4463.3333,1572.6667
LOC100577501,rna3012,4251.6667,1490.3333
LOC725532,rna442,719.0000,280.0000
LOC725626,rna5459,685.0000,206.0000
LOC107965860,rna28444,190.3333,55.6667
LOC552155,rna24901,209.3333,81.6667
LOC726962,rna25917,319.6667,118.3333
LOC412294,rna5834,590.6667,180.3333
LOC412823,rna11188,1820.0000,637.0000
LOC410753,rna560,526.0000,200.0000
PPO,rna23654,1525.6667,556.3333
LOC725745,rna423,879.6667,287.3333
LOC409410,rna12757,906.0000,342.0000
LOC107963971,rna20071,717.3333,269.6667
LOC413892,rna26025,866.3333,390.6667
LOC107964502,rna1776,225.3333,71.6667
LOC100576919,rna28001,2821.3333,1024.6667
LOC411846,rna16975,1700.3333,579.6667
LOC726627,rna17577,565.3333,175.6667
LOC408365,rna20041,1212.6667,386.3333
LOC411491,rna16890,906.0000,276.0000
LOC552240,rna627,1231.0000,458.0000
LOC409243,rna15169,6830.0000,2329.0000
LOC102653577,rna7888,777.6667,281.3333
LOC725744,rna10339,589.3333,205.6667
LOC724896,rna19518,289.0000,116.0000
LOC411079,rna9198,2702.0000,1096.0000
LOC100578731,rna18237,560.3333,180.6667
LOC551338,rna14727,400.0000,173.0000
LOC102654696,rna18506,333.3333,113.6667
LOC726537,rna14357,1659.3333,560.6667
LOC100578752,rna368,586.0000,218.0000
LOC726818,rna16504,904.0000,329.0000
LOC726788,rna38,572.3333,177.6667
LOC726694,rna2055,1103.0000,448.0000
LOC725711,rna28181,1157.0000,463.0000
LOC411533,rna7561,818.0000,280.0000
LOC412200,rna14450,1619.3333,525.6667
LOC551540,rna7323,785.3333,267.6667
LOC412574,rna8803,2178.3333,782.6667
Antp,rna26402,785.6667,273.3333
LOC107965075,rna284,317.0000,118.0000
LOC100576453,rna8862,311.0000,97.0000
LOC410958,rna6437,2313.3333,836.6667
LOC551150,rna12282,1385.3333,546.6667
LOC409100,rna2038,365.3333,129.6667
LOC102654009,rna21585,157.0000,68.0000
LOC409065,rna14696,1030.3333,373.6667
LOC100577901,rna14995,448.6667,199.3333
LOC411037,rna7975,1290.6667,398.3333
LOC552809,rna8446,186.6667,71.3333
LOC408444,rna23466,6794.6667,2577.3333
LOC724719,rna1929,324.0000,114.0000
LOC409198,rna23206,942.0000,345.0000
Rep,rna28279,1166.6667,408.3333
LOC727248,rna28541,435.6667,167.3333
LOC409262,rna16286,763.3333,316.6667
LOC410063,rna16445,428.0000,181.0000
LOC552618,rna18308,1936.0000,638.0000
LOC408672,rna5227,396.0000,138.0000
LOC100576110,rna12532,1399.6667,532.3333
LOC409364,rna13332,1622.0000,625.0000
LOC412674,rna1512,464.0000,154.0000
LOC551701,rna7353,1468.3333,541.6667
LOC100576834,rna23425,321.3333,122.6667
LOC107965839,rna28340,236.6667,69.3333
LOC725462,rna20214,1152.0000,423.0000
LOC726899,rna4436,855.0000,273.0000
LOC406097,rna19737,1826.0000,616.0000
LOC410127,rna4147,3545.0000,1474.0000
LOC100578420,rna4054,1617.0000,690.0000
LOC726728,rna25042,4413.3333,1652.6667
LOC552151,rna14832,966.3333,329.6667
LOC413867,rna716,801.6667,287.3333
LOC102655741,rna11859,261.6667,95.3333
LOC552720,rna27376,504.6667,176.3333
LOC100576361,rna8085,393.0000,156.0000
LOC411852,rna22154,490.0000,173.0000
LOC100577436,rna5600,2451.0000,795.0000
LOC551852,rna7770,335.3333,120.6667
LOC412865,rna19558,2543.0000,991.0000
LOC413144,rna20660,813.3333,320.6667
LOC411721,rna2875,715.0000,284.0000
LOC100576938,rna3162,759.0000,258.0000
LOC409802,rna12935,518.0000,187.0000
LOC100576975,rna15441,907.3333,265.6667
LOC100576222,rna11242,626.0000,232.0000
LOC410871,rna4810,1222.0000,443.0000
LOC406145,rna8985,169.3333,64.6667
LOC102654839,rna23882,729.0000,270.0000
LOC552088,rna23727,732.3333,209.6667
LOC100577227,rna28700,309.3333,122.6667
LOC102653696,rna28652,293.0000,121.0000
LOC100578937,rna13491,2274.0000,768.0000
LOC100578514,rna4362,506.0000,193.0000
LOC100576266,rna21852,1436.3333,543.6667
LOC102655841,rna22989,772.6667,289.3333
Dcr-1,rna9873,4363.0000,1496.0000
LOC102654435,rna17090,340.3333,148.6667
LOC727027,rna7517,1470.6667,473.3333
LOC410751,rna552,763.3333,283.6667
LOC102653865,rna21592,779.3333,279.6667
LOC408917,rna8668,1141.0000,440.0000
LOC551856,rna11621,832.6667,286.3333
LOC727520,rna13324,888.3333,269.6667
LOC100576603,rna9010,230.3333,117.6667
LOC552177,rna14427,6087.6667,2420.3333
LOC411476,rna16010,1411.6667,568.3333
LOC411902,rna24847,666.6667,251.3333
LOC102654930,rna11832,2840.3333,1074.6667
LOC725055,rna23807,400.3333,130.6667
LOC107964997,rna16491,292.0000,125.0000
LOC724333,rna17856,1202.6667,537.3333
LOC100577525,rna6198,1624.0000,560.0000
LOC107964531,rna12325,1340.0000,379.0000
LOC552552,rna15190,2835.0000,1224.0000
LOC724853,rna6270,1288.0000,476.0000
LOC726709,rna22112,3408.0000,1425.0000
LOC409036,rna3653,359.0000,121.0000
LOC725589,rna4975,1628.3333,543.6667
LOC725988,rna25166,560.3333,231.6667
LOC102656654,rna28918,347.3333,117.6667
LOC725076,rna16175,354.0000,114.0000
LOC102656101,rna16231,547.3333,169.6667
LOC100576640,rna16068,3780.3333,1403.6667
LOC412092,rna15594,4354.6667,1558.3333
LOC102655649,rna28979,213.3333,77.6667
LOC107964402,rna10256,737.3333,240.6667
nAChRa4,rna13109,1237.0000,473.0000
LOC102653888,rna26248,314.6667,105.3333
LOC102654016,rna11964,429.0000,183.0000
LOC409860,rna2050,2275.3333,826.6667
LOC725191,rna17316,759.3333,296.6667
LOC552063,rna27113,880.0000,335.0000
LOC102656599,rna3649,236.6667,84.3333
LOC100576794,rna10226,562.3333,217.6667
LOC412401,rna27765,1769.0000,517.0000
TyHyd,rna13229,1110.0000,423.0000
LOC412714,rna16389,810.6667,308.3333
LOC551265,rna16515,657.6667,251.3333
LOC725586,rna25677,1369.3333,472.6667
LOC726689,rna15100,291.3333,89.6667
LOC550687,rna12989,1122.0000,411.0000
LOC410019,rna22057,10830.0000,4260.0000
LOC100578247,rna429,890.6667,270.3333
LOC551478,rna6852,1310.0000,511.0000
LOC552095,rna1868,2246.0000,730.0000
LOC410403,rna22202,554.6667,195.3333
LOC725555,rna13559,567.0000,204.0000
LOC726546,rna17977,244.6667,85.3333
LOC551883,rna19370,4327.3333,1588.6667
LOC551492,rna5362,917.0000,292.0000
LOC725201,rna24880,487.0000,164.0000
LOC551910,rna28068,954.6667,302.3333
LOC102656461,rna19116,244.3333,109.6667
LOC726786,rna13033,841.6667,310.3333
LOC409706,rna2493,302.6667,120.3333
LOC102655563,rna9615,511.0000,176.0000
LOC551392,rna22222,646.3333,196.6667
LOC552690,rna25138,423.0000,162.0000
LOC724712,rna21174,958.0000,326.0000
LOC725447,rna29091,697.6667,274.3333
LOC100577020,rna12382,261.3333,125.6667
LOC724822,rna28201,683.0000,277.0000
LOC724986,rna5381,2134.6667,724.3333
LOC725316,rna150,384.3333,131.6667
LOC100578437,rna4459,1204.3333,541.6667
Eif4g,rna12320,4147.0000,1592.0000
LOC102654821,rna29151,514.3333,184.6667
LOC107965250,rna20343,420.6667,146.3333
LOC551795,rna19020,1456.3333,550.6667
LOC724280,rna953,356.6667,93.3333
LOC408448,rna23572,1447.0000,590.0000
LOC411503,rna16985,1104.6667,374.3333
LOC413310,rna18836,5825.0000,2173.0000
LOC724731,rna24201,1880.3333,675.6667
LOC725460,rna3369,652.6667,253.3333
LOC100577224,rna6733,3085.0000,947.0000
LOC724804,rna23340,1495.0000,503.0000
LOC100576736,rna26561,276.6667,89.3333
LOC408643,rna3273,860.6667,345.3333
LOC412473,rna356,625.0000,200.0000
LOC410319,rna19875,3905.6667,1491.3333
LOC100576273,rna25479,1591.3333,532.6667
LOC100576444,rna26942,180.3333,68.6667
LOC725659,rna24946,409.6667,148.3333
LOC409595,rna20527,777.0000,279.0000
LOC726866,rna8313,225.0000,90.0000
LOC552397,rna22027,655.3333,295.6667
LOC725761,rna12434,1961.3333,678.6667
LOC725266,rna7927,167.0000,64.0000
LOC107965830,rna28268,250.3333,76.6667
LOC102656905,rna25426,546.6667,221.3333
LOC107964403,rna10616,420.6667,125.3333
LOC100578901,rna2399,204.6667,50.3333
LOC725449,rna28449,295.0000,113.0000
LOC412249,rna14423,1307.6667,450.3333
LOC410085,rna14076,444.0000,162.0000
UHRF1,rna23560,1636.6667,523.3333
LOC551485,rna27184,1730.6667,510.3333
LOC724131,rna7334,283.0000,98.0000
LOC100577071,rna15708,437.6667,171.3333
LOC551098,rna12360,638.6667,222.3333
LOC725606,rna850,1001.0000,379.0000
LOC100578601,rna19188,822.6667,260.3333
LOC107964853,rna1825,279.6667,101.3333
LOC552445,rna23551,930.0000,318.0000
LOC102654169,rna6328,324.6667,122.3333
LOC551574,rna361,732.3333,272.6667
LOC100578741,rna9302,270.0000,84.0000
LOC552458,rna18461,619.3333,211.6667
LOC727648,rna18514,1640.6667,552.3333
LOC412795,rna25855,3011.3333,1116.6667
LOC408755,rna6065,463.0000,167.0000
LOC100576717,rna20585,3116.0000,1054.0000
LOC409774,rna7523,1048.6667,382.3333
LOC406147,rna24859,549.3333,191.6667
LOC102654160,rna1079,1257.6667,482.3333
LOC102656065,rna18341,422.6667,186.3333
LOC412959,rna15729,2415.0000,831.0000
LOC102654964,rna22437,745.6667,319.3333
LOC100576216,rna9603,1218.6667,404.3333
LOC100576514,rna8117,631.3333,202.6667
LOC551215,rna6655,595.0000,206.0000
LOC410566,rna24231,1093.3333,403.6667
LOC410602,rna25555,798.3333,239.6667
LOC102656560,rna17075,1204.6667,427.3333
LOC102656485,rna23941,271.6667,85.3333
LOC410043,rna650,1037.6667,375.3333
LOC409965,rna6638,3041.6667,1368.3333
LOC727110,rna21109,909.0000,321.0000
LOC102655411,rna20928,543.6667,197.3333
LOC726488,rna18347,2075.0000,706.0000
LOC102655240,rna9582,398.3333,117.6667
LOC552421,rna16401,819.6667,302.3333
LOC102654555,rna1478,706.6667,250.3333
LOC413351,rna4649,2020.0000,857.0000
LOC552268,rna21561,368.0000,136.0000
LOC100578821,rna6412,632.0000,193.0000
Dop3,rna16682,1440.6667,617.3333
LOC411786,rna18387,926.6667,333.3333
LOC409644,rna6572,1903.0000,752.0000
LOC411105,rna10153,1189.3333,424.6667
LOC413112,rna8012,1071.3333,374.6667
LOC411212,rna13401,1378.6667,520.3333
LOC552090,rna3577,1005.0000,420.0000
LOC102654941,rna28781,670.6667,286.3333
LOC409004,rna16561,462.0000,174.0000
LOC552370,rna27839,5985.0000,2280.0000
LOC552172,rna13722,2142.6667,713.3333
LOC724705,rna13291,348.3333,104.6667
LOC413068,rna1059,730.0000,254.0000
LOC410238,rna17623,703.0000,224.0000
LOC727234,rna20535,331.3333,115.6667
LOC724247,rna23532,933.3333,320.6667
LOC726668,rna18320,618.6667,224.3333
LOC100577697,rna26900,846.0000,315.0000
LOC411505,rna20544,983.0000,340.0000
CSP2,rna5433,247.6667,106.3333
LOC551313,rna20539,371.3333,117.6667
LOC107964006,rna9751,484.6667,157.3333
LOC102654132,rna28763,764.0000,268.0000
LOC724903,rna2546,659.3333,270.6667
LOC410218,rna18463,423.3333,155.6667
LOC107965322,rna21665,549.6667,170.3333
LOC412108,rna19209,907.0000,356.0000
LOC725125,rna8806,793.3333,319.6667
LOC413014,rna10599,267.6667,89.3333
LOC408411,rna22514,1079.6667,408.3333
LOC102653932,rna16665,3048.0000,1188.0000
LOC102656292,rna26795,162.6667,53.3333
LOC552442,rna16355,479.3333,174.6667
LOC726780,rna18788,2068.0000,566.0000
LOC551570,rna12620,555.3333,203.6667
LOC100578978,rna28603,241.3333,91.6667
LOC727564,rna28919,656.6667,234.3333
LOC725860,rna4230,1239.0000,573.0000
LOC100578885,rna3949,4083.3333,1655.6667
LOC410658,rna27009,977.6667,414.3333
LOC726961,rna23738,1424.3333,453.6667
LOC100578805,rna27807,841.0000,260.0000
LOC552360,rna18178,980.0000,346.0000
LOC100577586,rna25428,157.0000,59.0000
LOC724322,rna19615,805.3333,340.6667
LOC551658,rna11034,3438.0000,1290.0000
LOC412103,rna792,2817.0000,954.0000
LOC552082,rna24899,2234.6667,870.3333
LOC724996,rna18222,372.6667,110.3333
LOC725629,rna10812,691.3333,262.6667
LOC409157,rna15184,1206.0000,420.0000
LOC408911,rna13660,2863.0000,980.0000
LOC102656137,rna12746,1202.6667,333.3333
LOC411047,rna7851,1818.6667,668.3333
LOC100578903,rna8988,510.6667,194.3333
LOC409479,rna167,604.0000,221.0000
LOC552345,rna16394,1109.0000,424.0000
LOC551599,rna7620,1657.0000,551.0000
LOC727081,rna24477,898.3333,340.6667
LOC551928,rna15085,1843.3333,643.6667
LOC551847,rna24978,879.6667,284.3333
LOC100577415,rna2567,795.0000,249.0000
LOC550895,rna5366,1242.6667,446.3333
LOC413246,rna12721,416.0000,139.0000
LOC726545,rna1127,987.0000,357.0000
LOC725102,rna8514,236.6667,102.3333
LOC412024,rna25472,715.0000,230.0000
LOC100578586,rna27479,1688.6667,642.3333
LOC410578,rna25920,1455.6667,575.3333
LOC100578557,rna7533,1138.6667,427.3333
LOC100576936,rna15496,484.6667,256.3333
LOC107965893,rna28582,315.3333,101.6667
LOC551949,rna7250,1072.0000,371.0000
LOC409023,rna15975,731.0000,253.0000
LOC726147,rna6554,401.3333,138.6667
LOC412330,rna4349,416.0000,148.0000
LOC724178,rna17056,269.6667,132.3333
LOC411237,rna15724,2129.0000,808.0000
LOC725374,rna7924,741.3333,257.6667
LOC100576797,rna2839,844.3333,256.6667
LOC552024,rna14866,849.0000,303.0000
LOC102655367,rna4607,921.0000,330.0000
GstD1,rna25934,494.6667,159.3333
LOC725021,rna14498,580.6667,211.3333
LOC727431,rna9939,1011.3333,407.6667
LOC408817,rna7796,1064.6667,384.3333
LOC100579028,rna17502,410.0000,127.0000
LOC552279,rna14241,1018.0000,410.0000
LOC724192,rna954,4459.6667,1510.3333
LOC552242,rna14433,578.6667,192.3333
LOC107965317,rna21913,573.6667,212.3333
LOC725628,rna10263,500.6667,159.3333
LOC413792,rna18172,882.0000,297.0000
LOC102654841,rna13169,870.0000,330.0000
LOC552482,rna19509,1063.0000,371.0000
LOC107964016,rna7584,224.3333,84.6667
LOC102653824,rna20354,325.3333,97.6667
LOC725136,rna16164,1391.6667,474.3333
LOC724519,rna14085,886.3333,298.6667
LOC724811,rna6984,624.0000,219.0000
LOC412203,rna24790,1333.3333,505.6667
LOC102654216,rna27434,592.6667,211.3333
LOC100576859,rna10223,805.0000,260.0000
LOC100578617,rna22595,816.3333,296.6667
LOC726001,rna16672,337.0000,101.0000
LOC727651,rna28825,563.3333,195.6667
LOC727260,rna12755,3240.3333,1034.6667
LOC409748,rna1103,1025.6667,315.3333
LOC410604,rna25528,1037.6667,372.3333
LOC552532,rna23806,1811.6667,576.3333
LOC102653922,rna21445,1225.6667,481.3333
LOC413919,rna14022,1090.3333,484.6667
LOC100578606,rna3578,1051.3333,385.6667
LOC409825,rna22539,1200.0000,435.0000
LOC408708,rna4201,412.6667,142.3333
LOC727496,rna21813,816.0000,300.0000
LOC107965577,rna25691,319.6667,85.3333
LOC724765,rna17149,887.3333,381.6667
LOC409692,rna13806,1920.0000,834.0000
LOC409927,rna1283,1667.0000,718.0000
LOC107964089,rna3809,579.3333,212.6667
LOC726538,rna27142,600.6667,239.3333
LOC410571,rna24311,2307.3333,731.6667
LOC100576231,rna2341,1903.3333,679.6667
LOC411068,rna9333,3168.0000,1278.0000
LOC552593,rna5447,668.0000,235.0000
LOC102653904,rna11809,229.6667,94.3333
LOC552117,rna793,794.0000,301.0000
LOC102654395,rna19347,2797.0000,911.0000
LOC107965949,rna28801,366.0000,159.0000
LOC726236,rna10787,1108.6667,421.3333
LOC107965887,rna28564,450.3333,158.6667
LOC100578581,rna19654,307.6667,97.3333
LOC102655188,rna17052,238.3333,88.6667
LOC413498,rna5994,1413.0000,471.0000
LOC409222,rna26167,729.6667,311.3333
LOC550962,rna3847,1430.6667,462.3333
LOC408848,rna9985,1032.3333,416.6667
LOC102654426,rna4159,395.3333,171.6667
LOC102655732,rna29085,397.3333,151.6667
LOC725438,rna14292,1244.3333,465.6667
LOC411012,rna8590,784.3333,325.6667
LOC726389,rna18355,660.0000,219.0000
LOC552069,rna18026,1045.0000,383.0000
LOC552400,rna14221,1811.3333,606.6667
LOC410083,rna2730,2319.3333,839.6667
LOC413494,rna13397,1474.6667,562.3333
LOC725131,rna13021,14458.6667,5077.3333
LOC552656,rna12513,766.0000,233.0000
LOC727015,rna13953,658.6667,211.3333
LOC727543,rna28922,305.3333,108.6667
LOC551437,rna12854,1725.3333,596.6667
LOC552708,rna25683,961.6667,361.3333
LOC102656384,rna6666,446.0000,136.0000
LOC102655021,rna28584,419.0000,208.0000
LOC100576411,rna25499,1427.6667,504.3333
LOC100576839,rna21185,1792.6667,640.3333
LOC409957,rna699,954.6667,389.3333
LOC409171,rna19697,1207.0000,410.0000
LOC102655124,rna8215,964.6667,334.3333
LOC411335,rna16474,505.6667,166.3333
LOC724695,rna6602,2441.0000,823.0000
LOC100578684,rna26043,163.3333,70.6667
LOC552320,rna5104,492.6667,203.3333
LOC410263,rna20355,1689.0000,612.0000
LOC551676,rna2133,632.0000,226.0000
LOC727606,rna29093,486.6667,194.3333
LOC100578523,rna12561,938.3333,399.6667
LOC413660,rna21555,1718.3333,600.6667
LOC107964337,rna799,293.0000,106.0000
LOC413430,rna21006,1189.0000,446.0000
LOC726870,rna5922,1317.0000,474.0000
LOC550965,rna9097,1115.0000,394.0000
LOC100576262,rna25098,388.3333,136.6667
LOC552695,rna20973,1216.6667,400.3333
LOC408986,rna16827,567.0000,198.0000
LOC725895,rna6870,6451.0000,2267.0000
LOC409883,rna8129,1713.6667,587.3333
LOC410718,rna1812,3857.3333,1668.6667
LOC107964730,rna13755,185.3333,69.6667
LOC100576279,rna20793,1069.0000,434.0000
LOC412563,rna26768,1526.0000,556.0000
LOC551769,rna25254,525.0000,189.0000
LOC411255,rna14546,657.0000,234.0000
LOC726461,rna5296,3385.0000,1409.0000
LOC100577381,rna21434,257.3333,102.6667
Nipped-B,rna12654,4400.3333,1626.6667
LOC100578529,rna16704,1914.6667,674.3333
LOC409062,rna3003,1001.6667,333.3333
LOC551755,rna27175,338.0000,133.0000
LOC107965862,rna28450,306.3333,113.6667
LOC551241,rna1182,668.0000,259.0000
LOC100577825,rna14640,855.6667,254.3333
LOC409015,rna16479,972.6667,308.3333
LOC409928,rna11296,1349.3333,570.6667
LOC102654024,rna7782,255.6667,77.3333
LOC107965266,rna18868,987.3333,323.6667
LOC100576957,rna17543,518.6667,126.3333
LOC102655811,rna943,241.6667,79.3333
LOC102656268,rna10734,180.6667,71.3333
LOC107964516,rna9396,261.0000,90.0000
LOC100576572,rna18359,1301.6667,312.3333
LOC726552,rna10658,175.3333,58.6667
LOC412162,rna13028,1556.3333,438.6667
LOC552251,rna2796,812.0000,361.0000
LOC408972,rna15336,416.3333,138.6667
LOC411194,rna13684,1279.0000,506.0000
LOC102656878,rna28447,320.3333,132.6667
LOC551799,rna26878,3310.6667,1132.3333
LOC724826,rna27110,1701.3333,686.6667
LOC100576677,rna6252,691.3333,232.6667
LOC411604,rna9917,1372.6667,544.3333
LOC412013,rna7361,1408.6667,541.3333
LOC100577168,rna12124,974.0000,439.0000
LOC102653887,rna29024,271.6667,91.3333
LOC724901,rna362,1022.3333,345.6667
LOC724158,rna23827,481.6667,142.3333
LOC100576531,rna18361,537.0000,183.0000
LOC551834,rna14441,1431.6667,506.3333
TpnCI,rna20367,361.3333,118.6667
LOC413362,rna13522,1330.0000,461.0000
LOC724274,rna4015,430.0000,155.0000
LOC100578443,rna23540,985.0000,341.0000
LOC551201,rna28004,500.0000,160.0000
LOC725814,rna12185,600.6667,188.3333
LOC724610,rna11846,1048.0000,374.0000
LOC726979,rna24539,1257.3333,446.6667
LOC552015,rna18384,1012.0000,344.0000
LOC412111,rna6664,2800.6667,901.3333
LOC551688,rna5394,773.3333,339.6667
LOC724257,rna8910,612.3333,170.6667
Or52,rna4513,921.0000,300.0000
LOC412302,rna17562,558.6667,197.3333
LOC551880,rna16461,902.0000,268.0000
LOC551732,rna3716,644.0000,202.0000
LOC107965957,rna28846,252.6667,92.3333
LOC102653800,rna3217,1995.0000,711.0000
LOC100577682,rna23476,377.0000,130.0000
LOC412036,rna7372,1663.0000,584.0000
LOC409277,rna12787,577.0000,212.0000
LOC727460,rna27618,1239.3333,470.6667
LOC726957,rna10584,716.6667,276.3333
LOC725360,rna8797,638.6667,201.3333
LOC409801,rna12932,1259.0000,460.0000
Or55,rna4510,920.6667,306.3333
LOC411519,rna7519,994.0000,353.0000
LOC100578277,rna27023,404.0000,124.0000
LOC409185,rna24613,553.6667,247.3333
LOC107965850,rna28394,258.3333,71.6667
LOC409517,rna570,1249.6667,397.3333
LOC102654608,rna22635,627.6667,245.3333
LOC100576082,rna23815,345.6667,110.3333
LOC411974,rna14208,1034.0000,340.0000
LOC107965281,rna20573,136.3333,49.6667
LOC413791,rna6878,1333.0000,497.0000
LOC726861,rna20376,233.3333,90.6667
LOC552010,rna15550,1140.0000,372.0000
LOC413242,rna17067,1902.0000,768.0000
LOC100578706,rna7160,1617.6667,683.3333
LOC409553,rna14887,1116.6667,428.3333
LOC408416,rna22580,992.0000,400.0000
LOC412979,rna5616,779.6667,264.3333
LOC727293,rna4327,978.3333,323.6667
LOC410469,rna22979,550.6667,184.3333
LOC410144,rna23001,1370.6667,552.3333
LOC552313,rna19478,1157.6667,438.3333
LOC725823,rna25162,537.0000,231.0000
LOC102653601,rna21039,1791.0000,567.0000
LOC409099,rna20639,5999.3333,2478.6667
LOC726134,rna13150,1153.3333,430.6667
LOC551295,rna12738,1159.6667,427.3333
LOC107965801,rna27910,283.3333,127.6667
LOC100578360,rna3421,1590.6667,449.3333
LOC410562,rna24376,845.6667,318.3333
LOC100577028,rna25313,241.6667,109.3333
LOC100577187,rna28699,648.6667,272.3333
LOC102654911,rna21425,404.3333,147.6667
LOC727028,rna16239,588.0000,222.0000
LOC408937,rna13062,683.0000,232.0000
LOC107964845,rna1813,849.0000,372.0000
LOC552830,rna20703,658.0000,221.0000
Dscam,rna8499,4722.3333,1811.6667
LOC411030,rna8192,1126.6667,388.3333
LOC102654078,rna21254,371.6667,129.3333
LOC409050,rna22908,1421.3333,576.6667
LOC551827,rna6779,784.6667,226.3333
LOC725404,rna10499,243.3333,80.6667
LOC724535,rna512,5096.6667,2094.3333
LOC100576770,rna1155,670.6667,220.3333
LOC410331,rna19962,3932.3333,1308.6667
LOC107965378,rna21365,558.0000,180.0000
LOC726397,rna10175,562.3333,193.6667
LOC100577416,rna28708,561.6667,209.3333
LOC726560,rna1128,997.6667,340.3333
LOC725015,rna9355,1743.6667,692.3333
LOC552002,rna28153,321.0000,105.0000
LOC725051,rna20633,3007.0000,1088.0000
LOC726747,rna4471,179.6667,66.3333
LOC410024,rna17720,332.6667,132.3333
LOC552522,rna18469,1312.0000,461.0000
Or57,rna4506,915.3333,308.6667
LOC102654541,rna17055,178.6667,61.3333
LOC411693,rna14047,462.0000,165.0000
Reck,rna24527,1941.3333,749.6667
LOC102656515,rna27911,461.6667,165.3333
LOC102656271,rna28104,402.0000,117.0000
