Gene	dN_dS
LOC105833138	0.1425
LOC105828250	0.0828
LOC105833556	0.0678
LOC105834383	0.1069
LOC105832313	0.1150
LOC105829347	0.0870
LOC105837850	0.1790
LOC105838766	0.0408
LOC105840113	0.1286
LOC105832516	0.0413
LOC105827925	0.0794
LOC105831112	0.1489
LOC105835297	0.0512
LOC105837988	0.2250
LOC105830188	0.0584
LOC105830212	0.2058
LOC105831606	0.2392
LOC105835960	0.2912
LOC105839053	0.1403
LOC105835497	0.1520
LOC105839412	0.1095
LOC105833943	0.1280
LOC105832741	0.1172
LOC105840699	0.2708
LOC105833024	0.1554
LOC105831319	0.1255
LOC105840641	0.1725
LOC105836197	0.6191
LOC105836497	0.0129
LOC105827860	0.1212
LOC105839389	0.0266
LOC105837545	0.0646
LOC105838719	0.0871
LOC105838240	0.0394
LOC105837089	0.4618
LOC105838664	0.2124
LOC105836588	0.0757
LOC105834001	0.1621
LOC105831150	0.0572
LOC105840191	0.0622
LOC105828870	0.0479
LOC105830902	0.1153
LOC105837679	0.2778
LOC105830194	0.0080
LOC105836935	0.0151
LOC105829733	0.0711
LOC105830753	0.0341
LOC105834845	0.1707
LOC105832254	0.2048
LOC105840214	0.0746
LOC105837226	0.0699
LOC105832795	0.3848
LOC105830605	0.6588
LOC105839096	0.0753
LOC105836076	0.1212
LOC105837264	0.2950
LOC105831232	0.0561
LOC105833075	0.1389
LOC105829318	0.1784
LOC105835956	0.1728
LOC105828622	0.0615
LOC105832925	0.0063
LOC105827893	0.1589
LOC105828123	0.0373
LOC105838571	0.1802
LOC105833866	0.0606
LOC105829022	0.0308
LOC105835064	0.0713
LOC105839207	0.2221
LOC105835863	0.4164
LOC105836664	0.1939
LOC105831800	0.0910
LOC105830282	0.3686
LOC105832086	0.1766
LOC105833321	0.0997
LOC105837691	0.5326
LOC105840066	0.0757
LOC105839964	0.1476
LOC105836218	0.1856
LOC105837145	0.0769
LOC105835781	0.2232
LOC105834740	0.0306
LOC105839635	0.0557
LOC105828362	0.1443
LOC105833531	0.0829
LOC105837997	0.1022
LOC105829309	0.0553
LOC105839543	0.1397
LOC105834108	0.1249
LOC105832682	0.1956
LOC105837861	0.1653
LOC105839869	0.1054
LOC105830705	0.1154
LOC105834102	0.3623
LOC105831788	0.2931
LOC105834005	0.0648
LOC105828317	0.0408
LOC105831805	0.1874
LOC105828190	0.1114
LOC105829907	0.1162
LOC105831685	0.1242
LOC105832476	0.0956
LOC105831326	0.0565
LOC105836070	0.0437
LOC105836284	0.0890
LOC105839492	0.0561
LOC105828186	0.0742
LOC105836298	0.1036
LOC105828876	0.1499
LOC105836221	0.2116
LOC105839086	0.0387
LOC105836477	0.1331
LOC105836798	0.1207
LOC105837974	0.2614
LOC105836956	0.0438
LOC105840715	0.1760
LOC105835658	0.0163
LOC105837305	0.1294
LOC105838773	0.1802
LOC105831453	0.0534
LOC105831809	0.0778
LOC105835457	0.0218
LOC105835387	0.1386
LOC105834233	0.0383
LOC105837928	0.2739
LOC105836067	0.1742
LOC105836992	0.1021
LOC105829229	0.0826
LOC105837875	0.0442
LOC105835517	0.0410
LOC105835099	0.1134
LOC105838224	0.0287
LOC105840239	0.0749
LOC105837511	0.2479
LOC105831551	0.0326
LOC105830963	0.2910
LOC105836074	0.1295
LOC105840040	0.0879
LOC105831801	0.2106
LOC105831145	0.0911
LOC105832946	0.2220
LOC105828284	0.1601
LOC105837174	0.1910
LOC105831920	0.1417
LOC105829122	0.1340
LOC105836965	0.0785
LOC105835774	0.1418
LOC105832550	0.2020
LOC105828851	0.0743
LOC105838297	0.0523
LOC105834875	0.0893
LOC105833533	0.1334
LOC105831309	0.2940
LOC105837705	0.1451
LOC105839565	0.0471
LOC105837312	0.1572
LOC105838274	0.1333
LOC105834600	0.1139
LOC105833038	0.1352
LOC105836548	0.3208
LOC105837761	0.0880
LOC105836662	0.4361
LOC105831784	0.1343
LOC105831141	0.1623
LOC105836423	0.1859
LOC105828252	0.0851
LOC105833067	0.1152
LOC105836226	0.1944
LOC105831754	0.0836
LOC105835340	0.0858
LOC105833076	0.1448
LOC105828132	0.1057
LOC105840092	0.1328
LOC105827831	0.1909
LOC105830237	0.1395
LOC105831090	0.1125
LOC105832211	0.0605
LOC105831734	0.0827
LOC105837096	0.1250
LOC105838141	0.1181
LOC105833418	0.1331
LOC105835539	0.2614
LOC105835000	0.0851
LOC105839250	0.0638
LOC105833812	0.1787
LOC105839309	0.1014
LOC105832271	0.1257
LOC105830302	0.0740
LOC105833563	0.1011
LOC105833180	0.2307
LOC105833118	0.0390
LOC105832450	0.0353
LOC105835391	0.3612
LOC105832306	0.1008
LOC105840118	0.0665
LOC105840047	0.4251
LOC105830704	0.1375
LOC105836756	0.1310
LOC105836266	0.2072
LOC105840688	0.1401
LOC105829019	0.2923
LOC105831802	0.0603
LOC105837870	0.0161
LOC105837506	0.2707
LOC105832952	0.0843
LOC105836432	0.0751
LOC105833636	0.1082
LOC105835194	0.1227
LOC105838596	0.1199
LOC105834312	0.1406
LOC105830647	0.0595
LOC105834241	0.1079
LOC105837225	0.1589
LOC105840449	0.1259
LOC105839923	0.2094
LOC105831468	0.1568
LOC105837947	0.1381
LOC105837805	0.1640
LOC105836465	0.2859
LOC105829534	0.1322
LOC105836494	0.2133
LOC105834627	0.1043
LOC105835196	0.0640
LOC105831580	0.0349
LOC105833251	0.2082
LOC105836839	0.1009
LOC105838382	0.1636
LOC105835474	0.1408
LOC105829227	0.1248
LOC105836901	0.0795
LOC105840684	0.0403
LOC105836217	0.2203
LOC105835794	0.2120
LOC105838767	0.0898
LOC105831916	0.0867
LOC105831378	0.0834
LOC105831374	0.1371
LOC105828905	0.2314
LOC105839781	0.1366
LOC105835980	0.1584
LOC105832387	0.0489
LOC105836202	0.1758
LOC105838675	0.2219
LOC105828416	0.1142
LOC105838867	0.0325
LOC105834171	0.2215
LOC105828872	0.0347
LOC105831662	0.1925
LOC105833417	0.0925
LOC105839936	0.4854
LOC105831544	0.2860
LOC105839750	0.3326
LOC105837154	0.1286
LOC105837966	0.0452
LOC105838078	0.2014
LOC105839416	0.0491
LOC105833676	0.0485
LOC105837446	0.1340
LOC105829481	0.0517
LOC105836883	0.2156
LOC105837935	0.1247
LOC105836220	0.1666
LOC105829753	0.0037
LOC105828654	0.0904
LOC105831540	0.2170
LOC105839718	0.1722
LOC105839895	0.1594
LOC105838676	0.0598
LOC105836031	0.0356
LOC105837991	0.0807
LOC105834512	0.0820
LOC105837749	0.1830
LOC105834964	0.3149
LOC105837790	0.1353
LOC105837986	0.1740
LOC105835041	0.0686
LOC105841110	0.1168
LOC105830326	0.0488
LOC105830787	0.2316
LOC105837386	0.0761
LOC105831004	0.0187
LOC105841024	0.1147
LOC105837916	0.0383
LOC105828762	0.0973
LOC105839164	0.0465
LOC105835166	0.3620
LOC105833128	0.0991
LOC105833105	0.1134
LOC105828371	0.2016
LOC105831323	0.1138
LOC105834364	0.0977
LOC105839910	0.2438
LOC105838800	0.1846
LOC105831423	0.1927
LOC105840159	0.0957
LOC105836229	0.0965
LOC105839601	0.0758
LOC105839319	0.0149
LOC105831031	0.0673
LOC105832260	0.0267
LOC105838227	0.0881
LOC105832267	0.0393
LOC105832704	0.0349
LOC105832433	0.1358
LOC105829529	0.4791
LOC105828353	0.0275
LOC105840560	0.1088
LOC105833461	0.1455
LOC105828710	0.0291
LOC105837382	0.1140
LOC105833739	0.1822
LOC105833741	0.1430
LOC105840341	0.0456
LOC105840171	0.1575
LOC105832442	0.0072
LOC105833801	0.1864
LOC105837109	0.2278
LOC105840376	0.2831
LOC105835130	0.2983
LOC105828801	0.3390
LOC105837838	0.0537
LOC105838416	0.1410
LOC105841117	0.1175
LOC105832624	0.1921
LOC105839610	0.0884
LOC105833598	0.1551
LOC105840995	0.5022
LOC105839550	0.2449
LOC105833211	0.0960
LOC105837025	0.1491
LOC105834586	0.2789
LOC105828680	0.2803
LOC105830783	0.1198
LOC105839809	0.0259
LOC105837208	0.1349
LOC105830465	0.0813
LOC105829479	0.0430
LOC105837781	0.3436
LOC105831236	0.2291
LOC105828672	0.0462
LOC105832337	0.0879
LOC105829770	0.1370
LOC105833403	0.2345
LOC105837359	0.2204
LOC105833922	0.0569
LOC105839050	0.1532
LOC105833287	0.1356
LOC105834527	0.0973
LOC105828254	0.1087
LOC105834636	0.2256
LOC105829381	0.1537
LOC105835098	0.0075
LOC105834893	0.0200
LOC105834908	0.1121
LOC105830012	0.5311
LOC105835328	0.2233
LOC105836848	0.2244
LOC105828696	0.2190
LOC105836860	0.1237
LOC105836538	0.0711
LOC105832543	0.1651
LOC105835090	0.0780
LOC105837349	0.1577
LOC105828589	0.1101
LOC105830048	0.0934
LOC105827857	0.3501
LOC105840197	0.0876
LOC105828871	0.0391
LOC105830580	0.0466
LOC105830747	0.1639
LOC105836801	0.1893
LOC105832087	0.2115
LOC105838055	0.2227
LOC105837337	0.0896
LOC105834853	0.0497
LOC105832593	0.0465
LOC105829396	0.4094
LOC105840228	0.0559
LOC105837231	0.3358
LOC105837957	0.0735
LOC105835936	0.0499
LOC105833952	0.1030
LOC105831320	0.1185
LOC105832268	0.1075
LOC105840824	0.0206
LOC105834142	0.0805
LOC105840056	0.0839
LOC105833448	0.0889
LOC105836589	0.0920
LOC105833806	0.0566
LOC105837361	0.1359
LOC105837561	0.0689
LOC105833970	0.1079
LOC105840691	0.0643
LOC105830989	0.2177
LOC105840062	0.3835
LOC105831070	0.0756
LOC105829194	0.2152
LOC105833445	0.2095
LOC105834606	0.2014
LOC105836723	0.0193
LOC105840099	0.0775
LOC105831697	0.0697
LOC105834444	0.0338
LOC105835710	0.1174
LOC105833262	0.0053
LOC105838673	0.5190
LOC105833280	0.1121
LOC105839136	0.1140
LOC105839031	0.1125
LOC105833542	0.1576
LOC105834133	0.0983
LOC105833607	0.0628
LOC105839049	0.1288
LOC105836503	0.2199
LOC105837908	0.2112
LOC105835669	0.2534
LOC105838802	0.0185
LOC105829420	0.1363
LOC105833066	0.1476
LOC105840657	0.0732
LOC105840035	0.0911
LOC105830944	0.0959
LOC105830883	0.1706
LOC105835955	0.1333
LOC105830352	0.0580
LOC105828882	0.1880
LOC105837461	0.1704
LOC105833776	0.2609
LOC105837663	0.0686
LOC105834198	0.1020
LOC105829963	0.2646
LOC105828421	0.0696
LOC105830530	0.1308
LOC105831040	0.0785
LOC105832577	0.2037
LOC105829378	0.2047
LOC105838958	0.0654
LOC105830790	0.2813
LOC105831507	0.1829
LOC105833886	0.0232
LOC105838552	0.2161
LOC105829979	0.0581
LOC105836903	0.1258
LOC105832243	0.0913
LOC105837581	0.0232
LOC105830040	0.3390
LOC105834061	0.2387
LOC105836823	0.0784
LOC105834526	0.0559
LOC105827878	0.0635
LOC105830888	0.0276
LOC105829942	0.1275
LOC105829443	0.0546
LOC105839787	0.0989
LOC105836296	0.2332
LOC105838446	0.1256
LOC105831032	0.0491
LOC105831600	0.1863
LOC105833620	0.0964
LOC105829138	0.0678
LOC105830800	0.0620
LOC105830739	0.1872
LOC105841036	0.0845
LOC105831674	0.4947
LOC105833754	0.0461
LOC105830913	0.1797
LOC105838779	0.0408
LOC105839162	0.0859
LOC105828742	0.1631
LOC105831597	0.0501
LOC105829722	0.0420
LOC105831745	0.1767
LOC105828251	0.0420
LOC105840698	0.0669
LOC105833539	0.3147
LOC105833618	0.3119
LOC105835052	0.0820
LOC105833077	0.1173
LOC105832477	0.1427
LOC105831654	0.1467
LOC105836746	0.0379
LOC105832383	0.3866
LOC105836672	0.2170
LOC105833804	0.0674
LOC105840454	0.1844
LOC105838179	0.0312
LOC105831950	0.0531
LOC105837180	0.2367
LOC105837295	0.1628
LOC105834700	0.1118
LOC105831397	0.0478
LOC105828791	0.1731
LOC105834252	0.3158
LOC105839058	0.1121
LOC105830455	0.3030
LOC105838813	0.1685
LOC105835013	0.1344
LOC105832984	0.0756
LOC105836155	0.2862
LOC105835067	0.1562
LOC105831412	0.1523
LOC105829740	0.3583
LOC105837903	0.1843
LOC105833006	0.2084
LOC105830128	0.1305
LOC105829539	0.7214
LOC105834937	0.0397
LOC105837371	0.0911
LOC105830817	0.0739
LOC105833290	0.0445
LOC105832452	0.2904
LOC105830811	0.1790
LOC105828809	0.2554
LOC105831132	0.1348
LOC105838942	0.0647
LOC105839448	0.0645
LOC105829266	0.1875
LOC105836944	0.1261
LOC105831959	0.0198
LOC105838627	0.0356
LOC105830694	0.3761
LOC105839452	0.2234
LOC105829569	0.1983
LOC105835722	0.0946
LOC105831346	0.3162
LOC105836420	0.0416
LOC105840334	0.1355
LOC105839181	0.1748
LOC105836976	0.0721
LOC105833848	0.0434
LOC105835267	0.0867
LOC105836402	0.1147
LOC105838109	0.3278
LOC105834349	0.3250
LOC105835144	0.0720
LOC105838917	0.1240
LOC105833359	0.2421
LOC105831041	0.2786
LOC105830438	0.0746
LOC105827778	0.1136
LOC105837791	0.1361
LOC105835972	0.1400
LOC105832146	0.2126
LOC105829399	0.0296
LOC105835970	0.2775
LOC105828628	0.2195
LOC105831657	0.0590
LOC105837197	0.2006
LOC105833091	0.0735
LOC105835726	0.2159
LOC105836038	0.1070
LOC105837350	0.1756
LOC105834583	0.3320
LOC105837513	0.1969
LOC105836500	0.0814
LOC105839925	0.0784
LOC105834902	0.2264
LOC105835652	0.2034
LOC105835150	0.0994
LOC105833309	0.1364
LOC105836656	0.1338
LOC105832065	0.2120
LOC105833353	0.1500
LOC105829047	0.0332
LOC105828462	0.1197
LOC105839680	0.0793
LOC105834991	0.1268
LOC105836375	0.1218
LOC105839165	0.0733
LOC105832292	0.0964
LOC105838083	0.0661
LOC105833157	0.1550
LOC105837775	0.0453
LOC105837299	0.0473
LOC105838759	0.0052
LOC105828794	0.0782
LOC105839013	0.0271
LOC105830389	0.1378
LOC105831917	0.2964
LOC105832470	0.1522
LOC105827766	0.1084
LOC105828247	0.0359
LOC105828638	0.2547
LOC105834356	0.2023
LOC105831282	0.0972
LOC105829156	0.1149
LOC105837322	0.1649
LOC105833615	0.0636
LOC105835860	0.2218
LOC105834403	0.1309
LOC105835180	0.2022
LOC105835815	0.2149
LOC105828789	0.0990
LOC105836095	0.1910
LOC105836747	0.2547
LOC105832854	0.0353
LOC105831439	0.2406
LOC105835927	0.1910
LOC105838091	0.1230
LOC105835002	0.0781
LOC105834906	0.1938
LOC105828929	0.0497
LOC105835919	0.3124
LOC105828682	0.3728
LOC105831450	0.0290
LOC105840027	0.0831
LOC105831675	0.2268
LOC105840451	0.1369
LOC105828657	0.1338
LOC105830715	0.0509
LOC105833392	0.2259
LOC105839417	0.0633
LOC105832412	0.1706
LOC105836195	0.2538
LOC105839521	0.3144
LOC105829700	0.1160
LOC105830065	0.0556
LOC105838835	0.0457
LOC105837447	0.1159
LOC105839045	0.1607
LOC105836648	0.1409
LOC105839294	0.0746
LOC105838905	0.0184
LOC105832488	0.0380
LOC105836796	0.0643
LOC105838612	0.2830
LOC105834083	0.2487
LOC105834376	0.1031
LOC105839497	0.0713
LOC105837881	0.0775
LOC105836696	0.0603
LOC105834163	0.2294
LOC105829167	0.0559
LOC105834784	0.2199
LOC105835029	0.2792
LOC105831001	0.2595
LOC105835305	0.0366
LOC105837857	0.1918
LOC105828477	0.3182
LOC105828873	0.1162
LOC105828815	0.0371
LOC105831894	0.0417
LOC105834256	0.0659
LOC105835638	0.0254
LOC105835904	0.3676
LOC105830892	0.0905
LOC105832774	0.2002
LOC105838272	0.1050
LOC105834748	0.1267
LOC105830702	0.0282
LOC105831569	0.0421
LOC105839217	0.3040
LOC105830933	0.2481
LOC105839916	0.1961
LOC105830839	0.1563
LOC105830181	0.0854
LOC105830967	0.0590
LOC105832117	0.0983
LOC105830005	0.2038
LOC105838594	0.3377
LOC105833110	0.1090
LOC105832124	0.1840
LOC105835893	0.3036
LOC105827866	0.3091
LOC105830766	0.2206
LOC105835957	0.0807
LOC105838166	0.1789
LOC105837901	0.0979
LOC105831448	0.2360
LOC105828781	0.1553
LOC105836851	0.2474
LOC105834412	0.1198
LOC105833785	0.1325
LOC105827763	0.0681
LOC105830731	0.0772
LOC105827787	0.0898
LOC105840149	0.1540
LOC105828263	0.0877
LOC105840643	0.1242
LOC105831594	0.2101
LOC105829207	0.0193
LOC105838542	0.0415
LOC105839545	0.1620
LOC105838913	0.1579
LOC105840302	0.0446
LOC105836408	0.0910
LOC105836173	0.1484
LOC105841123	0.0171
LOC105834625	0.0729
LOC105836215	0.1830
LOC105829312	0.0526
LOC105833040	0.2190
LOC105836448	0.0864
LOC105836117	0.0821
LOC105830648	0.1058
LOC105831585	0.3263
LOC105839277	0.0307
LOC105837407	0.0700
LOC105838505	0.1045
LOC105835873	0.0604
LOC105830416	0.0240
LOC105833972	0.1639
LOC105834514	0.0743
LOC105829200	0.3375
LOC105834518	0.0453
LOC105840081	0.1392
LOC105835963	0.1826
LOC105832062	0.1189
LOC105837170	0.1939
LOC105831284	0.0804
LOC105835554	0.1309
LOC105830951	0.1600
LOC105839326	0.0266
LOC105830341	0.0761
LOC105835133	0.0730
LOC105832845	0.3179
LOC105837026	0.0620
LOC105836451	0.1947
LOC105835807	0.2085
LOC105830368	0.1141
LOC105835242	0.1116
LOC105839145	0.0576
LOC105839187	0.0854
LOC105830329	0.4389
LOC105836168	0.0698
LOC105827808	0.2188
LOC105827788	0.0460
LOC105841105	0.0811
LOC105837865	0.0304
LOC105830950	0.1053
LOC105834132	0.0793
LOC105841009	0.1351
LOC105828727	0.0428
LOC105828641	0.0578
LOC105836977	0.0502
LOC105833433	0.0416
LOC105830952	0.0634
LOC105839890	0.1964
LOC105831463	0.0548
LOC105831922	0.0073
LOC105832782	0.0267
LOC105838002	0.2719
LOC105832068	0.0501
LOC105828962	0.2308
LOC105838463	0.0451
LOC105840558	0.0522
LOC105829291	0.1016
LOC105834034	0.1048
LOC105834212	0.3526
LOC105838597	0.1540
LOC105830446	0.3637
LOC105832181	0.2316
LOC105830652	0.2325
LOC105832759	0.1395
LOC105833680	0.2096
LOC105833872	0.0761
LOC105838970	0.1217
LOC105839182	0.1716
LOC105830555	0.0603
LOC105828292	0.2198
LOC105839469	0.0983
LOC105838203	0.0708
LOC105840742	0.1155
LOC105836332	0.1100
LOC105836943	0.1604
LOC105831103	0.2283
LOC105839008	0.1815
LOC105828412	0.1632
LOC105832338	0.0615
LOC105835396	0.0089
LOC105836665	0.2975
LOC105836246	0.0307
LOC105840706	0.1887
LOC105839413	0.0683
LOC105831825	0.1746
LOC105836012	0.1289
LOC105836228	0.6477
LOC105833034	0.1504
LOC105830520	0.1312
LOC105834501	0.2488
LOC105839855	0.0604
LOC105832542	0.3300
LOC105834435	0.0319
LOC105837958	0.1569
LOC105836469	0.2942
LOC105834463	0.1521
LOC105835357	0.0950
LOC105832285	0.1593
LOC105840082	0.1793
LOC105835102	0.1900
LOC105828446	0.2120
LOC105829616	0.1929
LOC105831057	0.0874
LOC105837397	0.0668
LOC105828527	0.0390
LOC105836559	0.0418
LOC105829513	0.2404
LOC105838651	0.0555
LOC105836112	0.1078
LOC105830866	0.1746
LOC105837768	0.0945
LOC105837637	0.2125
LOC105839258	0.1242
LOC105831895	0.0173
LOC105841057	0.2316
LOC105827776	0.2187
LOC105839461	0.1522
LOC105835284	0.2020
LOC105838508	0.3777
LOC105840650	0.0780
LOC105832245	0.1751
LOC105830940	0.1393
LOC105835410	0.1251
LOC105839391	0.0988
LOC105839424	0.1651
LOC105831198	0.0886
LOC105836959	0.3013
LOC105836151	0.2753
LOC105830198	0.4194
LOC105831634	0.2103
LOC105838894	0.1331
LOC105838679	0.0727
LOC105837460	0.1339
LOC105831170	0.1094
LOC105839402	0.0780
LOC105829835	0.1050
LOC105829293	0.1232
LOC105839649	0.0979
LOC105838410	0.0178
LOC105833599	0.0591
LOC105836252	0.0975
LOC105835808	0.1744
LOC105834359	0.0267
LOC105839676	0.0432
LOC105833619	0.2697
LOC105836606	0.1409
LOC105836879	0.0116
LOC105830034	0.2358
LOC105831684	0.1136
LOC105839876	0.0185
LOC105830083	0.3707
LOC105838226	0.0981
LOC105831726	0.1352
LOC105833520	0.1051
LOC105832064	0.0570
LOC105834339	0.1908
LOC105836177	0.0180
LOC105835653	0.1671
LOC105830026	0.0346
LOC105828644	0.0264
LOC105829588	0.1138
LOC105832272	0.0227
LOC105837106	0.3922
LOC105838402	0.2646
LOC105834801	0.0508
LOC105833039	0.0700
LOC105835290	0.0313
LOC105835861	0.0363
LOC105832139	0.1850
LOC105836359	0.1891
LOC105832002	0.0293
LOC105838178	0.0465
LOC105833139	0.0634
LOC105831151	0.0790
LOC105835988	0.1123
LOC105835183	0.0345
LOC105833055	0.1724
LOC105830738	0.0498
LOC105835323	0.0480
LOC105834320	0.1075
LOC105837965	0.2759
LOC105828191	0.0093
LOC105836273	0.1224
LOC105838425	0.0141
LOC105827799	0.0368
LOC105835809	0.0227
LOC105838783	0.1448
LOC105834117	0.1290
LOC105841095	0.2023
LOC105832375	0.0650
LOC105837418	0.2500
LOC105838609	0.1431
LOC105836142	0.2224
LOC105837107	0.0380
LOC105838831	0.1176
LOC105838471	0.4128
LOC105838749	0.1431
LOC105829718	0.1331
LOC105834476	0.0945
LOC105839724	0.0730
LOC105833354	0.1144
LOC105834255	0.2271
LOC105828557	0.0209
LOC105832797	0.1659
LOC105830678	0.0889
LOC105839222	0.0696
LOC105832145	0.1257
LOC105840137	0.0828
LOC105833060	0.2338
LOC105834519	0.1526
LOC105833595	0.0625
LOC105834799	0.0053
LOC105828883	0.0988
LOC105831485	0.1027
LOC105827797	0.1074
LOC105831402	0.0383
LOC105838866	0.1438
LOC105839501	0.1134
LOC105828256	0.2016
LOC105832109	0.1049
LOC105832637	0.1715
LOC105839518	0.1412
LOC105835206	0.0551
LOC105829453	0.1900
LOC105838683	0.1428
LOC105836084	0.1973
LOC105839937	0.0897
LOC105834478	0.1368
LOC105831498	0.1393
LOC105834231	0.1745
LOC105831217	0.1796
LOC105837429	0.0570
LOC105837364	0.0451
LOC105838343	0.1103
LOC105834941	0.0948
LOC105835416	0.0508
LOC105828554	0.3564
LOC105833550	0.0237
LOC105841077	0.1020
LOC105838782	0.2651
LOC105832940	0.1312
LOC105831045	0.1681
LOC105829952	0.1348
LOC105830924	0.0883
LOC105829154	0.2948
LOC105833404	0.5219
LOC105828947	0.1466
LOC105832049	0.2950
LOC105837122	0.0332
LOC105828878	0.0659
LOC105831175	0.2883
LOC105834385	0.1229
LOC105837841	0.0757
LOC105833366	0.1607
LOC105831742	0.1307
LOC105837862	0.4191
LOC105837799	0.0098
LOC105832796	0.1222
LOC105828605	0.0282
LOC105831373	0.0303
LOC105832175	0.0524
LOC105839183	0.1322
LOC105830727	0.0304
LOC105832628	0.0937
LOC105832104	0.0123
LOC105838817	0.2836
LOC105834930	0.1186
LOC105831945	0.1458
LOC105830278	0.1549
LOC105835438	0.0083
LOC105834386	0.0729
LOC105830808	0.1032
LOC105835501	0.1598
LOC105828458	0.2805
LOC105839629	0.0619
LOC105838524	0.1568
LOC105836179	0.1449
LOC105834195	0.2558
LOC105836961	0.0808
LOC105833701	0.1331
LOC105838489	0.1037
LOC105838127	0.0561
LOC105836078	0.0853
LOC105833216	0.4832
LOC105828209	0.0555
LOC105833041	0.1395
LOC105839278	0.0752
LOC105839386	0.1360
LOC105834335	0.1376
LOC105831240	0.2277
LOC105827889	0.0499
LOC105828912	0.2208
LOC105832837	0.0325
LOC105833424	0.1823
LOC105833154	0.3338
LOC105839276	0.0932
LOC105836509	0.0455
LOC105831215	0.0908
LOC105838849	0.0695
LOC105839290	0.2499
LOC105840017	0.1392
LOC105836566	0.0535
LOC105829326	0.0516
LOC105837037	0.1569
LOC105827815	0.1161
LOC105834687	0.0474
LOC105835269	0.1943
LOC105832967	0.0770
LOC105833219	0.0348
LOC105831408	0.2283
LOC105837394	0.1447
LOC105838553	0.0729
LOC105837046	0.3842
LOC105833011	0.0628
LOC105839484	0.2569
LOC105834373	0.1463
LOC105830679	0.0643
LOC105835312	0.2204
LOC105833229	0.0058
LOC105835649	0.0387
LOC105828916	0.1797
LOC105837680	0.1472
LOC105831637	0.0310
LOC105830241	0.0060
LOC105830653	0.1828
LOC105833499	0.0483
LOC105832322	0.0651
LOC105832228	0.1148
LOC105838455	0.2474
LOC105832200	0.2146
LOC105839458	0.0251
LOC105832737	0.0665
LOC105840235	0.0506
LOC105837711	0.0529
LOC105830535	0.4482
LOC105833483	0.1749
LOC105828736	0.0225
LOC105829903	0.0342
LOC105835650	0.0506
LOC105837297	0.1014
LOC105836321	0.0357
LOC105830353	0.1472
LOC105836077	0.1589
LOC105836175	0.0945
LOC105840575	0.1785
LOC105833078	0.4740
LOC105838330	0.1649
LOC105830069	0.3417
LOC105836260	0.1692
LOC105833348	0.2590
LOC105831789	0.1293
LOC105834400	0.0596
LOC105830818	0.0874
LOC105832585	0.0668
LOC105839084	0.1098
LOC105839055	0.1177
LOC105831283	0.3234
LOC105829577	0.0565
LOC105839486	0.0981
LOC105837403	0.2346
LOC105837409	0.1571
LOC105831997	0.4068
LOC105832689	0.2381
LOC105836945	0.1055
LOC105831237	0.1019
LOC105838671	0.0447
LOC105829960	0.0664
LOC105829472	0.0790
LOC105830447	0.0619
LOC105839193	0.0770
LOC105837419	0.2469
LOC105832153	0.3590
LOC105839070	0.1293
LOC105833529	0.1934
LOC105829091	0.1341
LOC105832850	0.0975
LOC105835227	0.0195
LOC105834752	0.2231
LOC105838397	0.0126
LOC105831445	0.0290
LOC105838081	0.0463
LOC105829536	0.1119
LOC105834966	0.3306
LOC105831126	0.3089
LOC105829415	0.1011
LOC105837112	0.1345
LOC105828127	0.2322
LOC105838857	0.0143
LOC105830884	0.1218
LOC105839205	0.2299
LOC105832000	0.0159
LOC105838077	0.2221
LOC105840918	0.1281
LOC105833592	0.2782
LOC105837650	0.1153
LOC105840802	0.0517
LOC105828366	0.2964
LOC105829572	0.0846
LOC105830728	0.1735
LOC105828767	0.0485
LOC105833349	0.1512
LOC105840269	0.3592
LOC105835494	0.1042
LOC105833437	0.3691
LOC105835538	0.2547
LOC105839911	0.1595
LOC105833297	0.1455
LOC105830995	0.3462
LOC105832063	0.0735
LOC105835298	0.0110
LOC105838562	0.2314
LOC105838231	0.0440
LOC105836367	0.1786
LOC105831281	0.2081
LOC105831741	0.1200
LOC105833317	0.2591
LOC105831740	0.1563
LOC105833174	0.0613
LOC105838710	0.2267
LOC105837803	0.0917
LOC105836327	0.2781
LOC105834486	0.2289
LOC105828208	0.2283
LOC105829761	0.1171
LOC105829225	0.1983
LOC105830551	0.7267
LOC105831355	0.1077
LOC105835946	0.0866
LOC105836392	0.0782
LOC105829714	0.2170
LOC105839097	0.1377
LOC105830552	0.4909
LOC105832822	0.0229
LOC105833629	0.2041
LOC105833358	0.0362
LOC105839328	0.2024
LOC105836613	0.2123
LOC105837368	0.3214
LOC105835532	0.1536
LOC105836036	0.0048
LOC105830263	0.0065
LOC105832679	0.0185
LOC105834744	0.0148
LOC105832080	0.2341
LOC105831082	0.2424
LOC105834489	0.1449
LOC105839881	0.1722
LOC105829545	0.1536
LOC105832144	0.0738
LOC105835122	0.0797
LOC105836409	0.0889
LOC105836694	0.0576
LOC105837684	0.1526
LOC105835480	0.1100
LOC105834421	0.0373
LOC105835696	0.1024
LOC105834541	0.2536
LOC105830594	0.4709
LOC105829694	0.0471
LOC105828917	0.0684
LOC105836141	0.0578
LOC105830621	0.2407
LOC105836063	0.0838
LOC105834134	0.1804
LOC105827863	0.3385
LOC105828133	0.0160
LOC105837014	0.0290
LOC105836907	0.1746
LOC105832088	0.1465
LOC105835728	0.0401
LOC105828396	0.3043
LOC105832746	0.1994
LOC105838204	0.0092
LOC105838980	0.2675
