OGG gene_Mphar gene_Amel
EOG8Q87S3 LOC105840269 LOC107964236
EOG8HQHDQ LOC105839113 LOC100577300
EOG8K3PRT LOC105839114 LOC551850
EOG8S4S9M LOC105839112 LOC410976
EOG8K9F6R LOC105835063 LOC410967
EOG8K9F6R LOC105836438 LOC410967
EOG8ZGS73 LOC105841050 LOC551043
EOG8ZGS73 LOC105828635 LOC551043
EOG8HHRWP LOC105837773 LOC410968
EOG8RNF4Q LOC105837772 LOC551217
EOG815K90 LOC105837770 LOC724920
EOG8HHRXQ LOC105839751 E74
EOG8W118N LOC105837769 LOC725036
EOG8NCQ6Z LOC105840079 LOC551291
EOG8GQT0P LOC105829681 LOC724809
EOG8H1DQ0 LOC105832428 LOC412464
EOG81G5ZG LOC105832429 LOC551396
EOG8N5ZR7 LOC105828365 LOC551430
EOG85QM8G LOC105840976 LOC551458
EOG8KD9FK LOC105831959 LOC413812
EOG82JRKQ LOC105831960 LOC724510
EOG8GMXRM LOC105831961 LOC413810
EOG8PG8WM LOC105836675 LOC724489
EOG8C2M54 LOC105830818 LOC411404
EOG8S4S9J LOC105830815 LOC100577120
EOG8GTP85 LOC105830821 LOC551655
EOG8GTP88 LOC105831964 LOC411403
EOG8DRD7B LOC105830819 LOC413708
EOG8DZ4PN LOC105837096 LOC412295
EOG8NKFQV LOC105829609 LOC412294
EOG8W3WH6 LOC105830798 LOC552493
EOG8936CD LOC105840045 LOC411563
EOG83501T LOC105827825 LOC411564
EOG83501T LOC105836678 LOC411564
EOG83501T LOC105840014 LOC411564
EOG83501T LOC105830216 LOC411564
EOG83501T LOC105832220 LOC411564
EOG83501T LOC105832521 LOC411564
EOG83501T LOC105833136 LOC411564
EOG83501T LOC105833405 LOC411564
EOG83501T LOC105838845 LOC411564
EOG8BS0F3 LOC105835612 LOC408759
EOG8NKFQ3 LOC105835615 LOC408762
EOG8GQT10 LOC105832536 LOC725829
EOG880MRV LOC105830236 LOC725791
EOG8H1DQ2 LOC105829194 LOC408761
EOG8J144J LOC105829195 LOC410973
EOG8N078S LOC105840003 LOC410972
EOG8X9BBR LOC105830065 LOC100578226
EOG8NP9ZH LOC105830062 LOC551057
EOG89KJK0 LOC105830061 LOC107964189
EOG8FJC47 LOC105830066 LOC410975
EOG8NKFQ9 LOC105838857 LOC412419
EOG8F4W60 LOC105835042 LOC552489
EOG8F4W60 LOC105835042 LOC725676
EOG8X9BC8 LOC105832384 LOC412524
EOG86X24N LOC105832386 LOC726857
EOG870XBT LOC105832383 LOC726870
EOG81VNZG LOC105832385 LOC552551
EOG84XNBS LOC105832743 LOC552563
EOG83501D LOC105838381 LOC552573
EOG8GMXRD LOC105838382 LOC100577681
EOG8284WT LOC105839519 LOC552629
EOG82C14Q LOC105839516 LOC552613
EOG8BP46D LOC105839518 LOC552603
EOG837V8N LOC105830865 LOC413363
EOG8GXJH2 LOC105837085 LOC412160
EOG8D29K8 LOC105837086 LOC724128
EOG8DJNS3 LOC105833516 LOC551539
EOG81VNXM LOC105833508 LOC410961
EOG879J30 LOC105831623 LOC412341
EOG82RH39 LOC105833610 LOC412342
EOG8R52XQ LOC105828837 LOC726071
EOG841T5S LOC105832305 Nmdar1
EOG8897FX LOC105832306 LOC409131
EOG8VDSTZ LOC105828512 LOC409130
EOG85F0J1 LOC105828510 LOC411412
EOG8P5P5B LOC105828511 LOC411411
EOG8PVRTW LOC105841061 LOC726232
EOG82NMTK LOC105831046 LOC414029
EOG8SR0RS LOC105831047 LOC102656155
EOG84F94G LOC105831054 LOC552647
EOG873SM9 LOC105838338 LOC413948
EOG8SFD1N LOC105841034 LOC413498
EOG8SFD1N LOC105832120 LOC413498
EOG8K9F6J LOC105839299 LOC413376
EOG8BP46X LOC105837113 LOC552601
EOG8MGW2W LOC105837109 LOC409498
EOG89CT3X LOC105834960 LOC726496
EOG8KM1XS LOC105834959 LOC725931
EOG8X9BC9 LOC105838927 LOC725894
EOG8Q2H8X LOC105838926 LOC102656822
EOG8THZPB LOC105840820 LOC410964
EOG8J143S LOC105840819 LOC410965
EOG8323SR LOC105837024 LOC408754
EOG8JMBK1 LOC105837005 LOC408755
EOG8XSPKF LOC105829279 LOC107964018
EOG8MSGT3 LOC105838259 LOC725590
EOG8W9MZ9 LOC105834102 LOC413874
EOG883H0W LOC105834101 LOC100577327
EOG8Q87SQ LOC105834392 LOC551916
EOG81K27B LOC105834391 LOC551948
EOG8H755X LOC105830630 LOC411492
EOG8N33H7 LOC105839687 LOC410954
EOG8FN7CM LOC105833799 LOC413194
EOG8ZW85B LOC105832009 LOC727159
EOG8ZW85B LOC105839685 LOC727159
EOG8WDH79 LOC105840574 LOC551607
EOG8PVRTG LOC105840576 LOC409523
EOG83V2Q2 LOC105829718 LOC410114
EOG81ZJ5J LOC105840575 LOC100576768
EOG8D821B LOC105837027 LOC411420
EOG8X6G3W LOC105829167 LOC100576866
EOG870XBJ LOC105828783 LOC409346
EOG8ZW85N LOC105828794 LOC409347
EOG8GQT07 LOC105829672 LOC552399
EOG80VZJ0 LOC105830237 LOC412843
EOG8S7NJT LOC105838890 LOC409639
EOG8TTKC4 LOC105836406 LOC100577174
EOG869TPS LOC105836403 LOC412846
EOG83JG0K LOC105836405 LOC724947
EOG8004D2 LOC105833912 LOC724778
EOG8PG8V9 LOC105840004 LOC412850
EOG80GGMG LOC105839997 LOC102656758
EOG8VDSTX LOC105839995 LOC724628
EOG8R7Z67 LOC105840008 LOC552076
EOG8DBX96 LOC105834957 LOC410093
EOG85B49C LOC105839996 LOC410092
EOG80KBT2 LOC105839999 LOC551970
EOG81NXFX LOC105840000 LOC410091
EOG822DDH LOC105829940 LOC411494
EOG8HX7WF LOC105837221 LOC411493
EOG847JNJ LOC105829583 LOC413738
EOG8P8JCH LOC105827884 LOC410045
EOG86MFCX LOC105828262 LOC410044
EOG8R26PN LOC105839547 LOC552147
EOG8X6G3X LOC105839543 LOC409872
EOG8J144H LOC105839542 LOC552192
EOG890B54 LOC105832236 LOC100576677
EOG847JNF LOC105832237 LOC413341
EOG8XD6KC LOC105832240 LOC410940
EOG8G4KK6 LOC105838794 LOC552278
EOG8D29JB LOC105835712 LOC410941
EOG86436X LOC105828909 LOC724853
EOG8P2SXC LOC105838583 LOC410943
EOG84QWVZ LOC105838580 LOC100577885
EOG8K9F70 LOC105838581 LOC412883
EOG8J143B LOC105837716 LOC724603
EOG8J6VKG LOC105828557 LOC409653
EOG8Z91QP LOC105830444 LOC551170
EOG880MRD LOC105829073 LOC724129
EOG8BVVPC LOC105831608 LOC551216
EOG8SJ88Q LOC105835027 LOC409335
EOG8G1Q9P LOC105835020 LOC726633
EOG8GTP7W LOC105835021 LOC100578296
EOG8XH2TF LOC105833930 LOC100578339
EOG8NGKHD LOC105832454 LOC551479
EOG8MD0TN LOC105827791 LOC410950
EOG8MD0TN LOC105831638 LOC410950
EOG8Z3993 LOC105827790 LOC102654169
EOG8CG34G LOC105835877 LOC410949
EOG8RV5MP LOC105835875 LOC100578399
EOG8CC6VW LOC105835874 LOC410948
EOG8PP1C3 LOC105835876 LOC726409
EOG80KBT4 LOC105835886 LOC551714
EOG84QWVF LOC105828762 LOC100576901
EOG8SJ881 LOC105828761 LOC410944
EOG8HX7WD LOC105830666 LOC410951
EOG844PDQ LOC105830735 LOC100577047
EOG844PDQ LOC105834063 LOC100577047
EOG88WFXG LOC105829354 LOC726282
EOG8MPMKB LOC105835884 LOC408748
EOG886C7M LOC105835887 LOC410952
EOG83FKR9 LOC105827786 LOC410953
EOG8RJJWS LOC105827789 LOC726033
EOG880MQX LOC105838502 LOC409865
EOG8RJJX5 LOC105838504 LOC100578821
EOG8S7NJZ LOC105840730 LOC413314
EOG85QM8C LOC105840731 LOC413313
EOG85B48T LOC105830296 LOC410958
EOG82FWC2 LOC105836477 LOC408752
EOG8RJJWF LOC105834725 LOC725830
EOG81G600 LOC105834727 LOC410957
EOG8G4KJW LOC105830918 LOC100576290
EOG8W9N09 LOC105836396 LOC408751
EOG8Z398C LOC105839434 LOC408750
EOG81NXFD LOC105828643 LOC408749
EOG8K6K02 LOC105835168 LOC410956
EOG8D821F LOC105839684 LOC725664
EOG83501F LOC105839733 LOC725792
EOG8CRPTV LOC105831576 LOC102655392
EOG8ZSCXG LOC105835937 LOC409968
EOG8QG07R LOC105835955 LOC551745
EOG87M4SF LOC105836402 LOC100578314
EOG837V8M LOC105839290 LOC410936
EOG8NGKG9 LOC105839291 LOC408742
EOG8B01J3 LOC105839288 LOC413490
EOG8CZFB3 LOC105839614 LOC412929
EOG8VT8RM LOC105839617 LOC411904
EOG8V9XJZ LOC105828377 LOC411903
EOG8DZ4QZ LOC105831830 LOC107964133
EOG8BVVQ1 LOC105831829 LOC726147
EOG8WM7Q0 LOC105840340 LOC410027
EOG8K3PQR LOC105840341 LOC413689
EOG88SKN9 LOC105831619 LOC412855
EOG8VHP2W LOC105832951 LOC551654
EOG8M94N3 LOC105835158 LOC724188
EOG82JRMD LOC105835147 LOC409642
EOG85MR1B LOC105835148 LOC409643
EOG89PDSW LOC105829581 LOC409644
EOG8M68CD LOC105836936 LOC552510
EOG8BS0DX LOC105829127 LOC552519
EOG8S4SBD LOC105829128 LOC552539
EOG8N33JJ LOC105829129 LOC724343
EOG8NS65X LOC105836981 LOC552571
EOG89S929 LOC105831244 LOC552590
EOG8W9MZP LOC105831233 LOC411893
EOG8FN7C3 LOC105831268 LOC409256
EOG883GZX LOC105837370 LOC409255
EOG870XC3 LOC105837368 LOC410007
EOG8D29J6 LOC105840727 LOC724695
EOG8RBTDC LOC105840729 LOC411931
EOG8HHRWV LOC105831735 LOC100578116
EOG890B4V LOC105839454 LOC411376
EOG88GZZJ LOC105831074 LOC726385
EOG8FR3MX LOC105828401 LOC726365
EOG8FR3MX LOC105838150 LOC726365
EOG84N1MD LOC105838148 LOC550991
EOG8HX7W6 LOC105838793 LOC552093
EOG87M4ST LOC105830322 LOC409893
EOG81G5ZZ LOC105830327 LOC413404
EOG81C9QQ LOC105837259 LOC551375
EOG8TQQ4C LOC105839281 LOC409965
EOG8VT8S5 LOC105839280 LOC409295
EOG8QC41V LOC105837083 LOC724921
EOG83FKR5 LOC105829750 LOC551331
EOG8X9BBN LOC105829753 LOC724969
EOG8N078W LOC105828757 LOC551256
EOG85B49X LOC105835465 LOC725060
EOG8CZF9W LOC105829749 LOC551169
EOG8C8BN1 LOC105829755 LOC551041
EOG8C5GCR LOC105840794 LOC412111
EOG8B5S1G LOC105840796 LOC102656384
EOG8VT8S3 LOC105840793 LOC725326
EOG81K26Z LOC105840766 LOC102653935
EOG81K26Z LOC105840765 LOC102653935
EOG81K26Z LOC105828373 LOC102653935
EOG81K26Z LOC105830529 LOC102653935
EOG85B49H LOC105837476 LOC725474
EOG8PCDMD LOC105834025 LOC100578888
EOG8G1QBG LOC105831392 LOC100578925
EOG8DJNQR LOC105831862 LOC725699
EOG83FKRT LOC105832148 LOC408740
EOG8PP1CC LOC105837042 LOC100576098
EOG87DDB6 LOC105832158 LOC410933
EOG8F4W66 LOC105837353 LOC726099
EOG8R52XC LOC105837350 LOC726130
EOG83BQHB LOC105837349 LOC726158
EOG81NXFC LOC105834633 LOC100577253
EOG8Z65GS LOC105835798 LOC726252
EOG8JQ6S0 LOC105833320 LOC409795
EOG8ZPHPZ LOC105832544 LOC413655
EOG8M94M0 LOC105832543 LOC724214
EOG8SN4HR LOC105841136 LOC724256
EOG82Z7KM LOC105841135 LOC100577293
EOG854CSX LOC105832651 LOC409906
EOG87DDB5 LOC105832646 LOC551896
EOG8HMN5F LOC105832647 LOC102654488
EOG8TF3F4 LOC105831704 LOC551874
EOG81K272 LOC105831703 LOC724557
EOG8Z91RG LOC105829893 LOC551827
EOG879J2N LOC105831684 LOC724651
EOG890B4F LOC105831685 LOC724779
EOG883H01 LOC105832590 LOC411896
EOG8RV5M9 LOC105832486 LOC551712
EOG8M3D4D LOC105832487 LOC100577574
EOG85F0J3 LOC105837112 LOC413089
EOG85782C LOC105828471 LOC413829
EOG873SMK LOC105829640 LOC410094
EOG85MR0N LOC105839549 LOC412002
EOG8T7BXS LOC105839550 LOC725122
EOG808R4F LOC105839552 LOC551125
EOG85781S LOC105833506 LOC551168
EOG8QRM06 LOC105833486 LOC409404
EOG8Q2H8R LOC105838816 LOC412256
EOG8Z0F11 LOC105838818 LOC412265
EOG812Q1X LOC105835428 LOC412266
EOG8JDM2K LOC105835415 LOC412267
EOG8HTCMV LOC105834185 LOC551478
EOG8K9F7D LOC105838506 LOC551509
EOG8HB1F3 LOC105838505 LOC551538
EOG85MR1N LOC105832671 LOC102655282
EOG876NVF LOC105832672 LOC551597
EOG8TXFM4 LOC105837892 LOC410926
EOG8Q5CHT LOC105837893 LOC410117
EOG83R6FX LOC105830494 LOC725895
EOG8V72B2 LOC105832016 LOC552021
EOG8VDST1 LOC105839809 LOC413791
EOG866ZFB LOC105836735 LOC409856
EOG81K27D LOC105836909 LOC726043
EOG8FN7C4 LOC105836899 LOC413288
EOG869TNZ LOC105835647 LOC413289
EOG88D3Q7 LOC105839819 LOC107964132
EOG8M3D4P LOC105839821 LOC409857
EOG8GF68R LOC105839824 LOC551826
EOG8QNQQP LOC105837386 LOC412924
EOG8X6G3T LOC105833798 LOC551521
EOG82Z7K4 LOC105833795 LOC107964206
EOG82VCBJ LOC105833802 LOC410079
EOG8D55S5 LOC105833801 LOC100578233
EOG8T7BXH LOC105834610 LOC412243
EOG8K0THD LOC105833614 LOC725167
EOG8JDM2B LOC105833615 LOC551124
EOG8FXV39 LOC105830299 LOC410918
EOG8TF3DX LOC105836351 LOC410920
EOG87H8JQ LOC105836346 LOC410922
EOG86HK5G LOC105834301 LOC724811
EOG8WHCG3 LOC105834303 LOC100578530
EOG80CMBX LOC105834293 LOC551347
EOG80S392 LOC105834292 LOC724886
EOG8Z398Q LOC105834295 LOC551408
EOG8ZW86H LOC105833678 LOC408733
EOG883H02 LOC105833676 LOC550667
EOG8M68BV LOC105833671 LOC408734
EOG847JNM LOC105833680 LOC724652
EOG89KJKR LOC105833685 LOC551537
EOG8CNTKH LOC105829607 LOC410923
EOG8CNTKH LOC105835103 LOC410923
EOG8K9F6P LOC105837761 LOC410925
EOG89CT31 LOC105834665 LOC724344
EOG8JT31K LOC105836473 LOC100577576
EOG8S4SB5 LOC105836472 LOC100577513
EOG83XXXV LOC105836465 LOC100578109
EOG8C5GD8 LOC105836466 LOC100576366
EOG8CJZCN LOC105831713 LOC552802
EOG83NB7N LOC105831712 LOC410072
EOG8CJZBW LOC105831711 LOC413805
EOG8BCHGJ LOC105828641 LOC410073
EOG8B2WS2 LOC105828633 LOC100576333
EOG8JQ6TB LOC105831978 LOC726131
EOG8MWC21 LOC105839508 LOC412599
EOG837V8D LOC105840824 LOC551235
EOG8DZ4PR LOC105828680 LOC414002
EOG8QRM05 LOC105828675 LOC100576104
EOG8W3WH0 LOC105830968 LOC412616
EOG8KPX6D LOC105830970 LOC724166
EOG8D29JF LOC105830967 LOC552412
EOG8962MP LOC105830972 LOC412956
EOG89GP9T LOC105836985 LOC100578040
EOG8W117V LOC105838819 LOC413817
EOG8DNJ06 LOC105829510 LOC724559
EOG8PK538 LOC105832542 LOC100578706
EOG8RV5KR LOC105830191 LOC724737
EOG8JDM2H LOC105837469 LOC724780
EOG8D55SF LOC105837470 LOC408730
EOG883H0D LOC105837471 LOC408729
EOG8QRM04 LOC105836774 LOC410916
EOG8W9N04 LOC105840498 LOC408728
EOG85TGGQ LOC105840587 LOC408727
EOG890B5D LOC105836461 LOC552149
EOG8TXFM7 LOC105836463 LOC725061
EOG8P8JD3 LOC105833778 LOC413503
EOG8MPMK2 LOC105833500 LOC551949
EOG8CRPTX LOC105833502 LOC551917
EOG8FTZTV LOC105833511 LOC100577675
EOG85B49G LOC105839740 LOC100576620
EOG8SXR72 LOC105839738 LOC410911
EOG8TQQ48 LOC105839736 LOC725433
EOG8STVZZ LOC105837249 LOC410910
EOG8GTP75 LOC105837247 LOC725591
EOG8PCDN1 LOC105837250 LOC551715
EOG8WDH6M LOC105834726 LOC100576872
EOG8G7FTB LOC105834731 LOC412868
EOG8DJNR6 LOC105834729 LOC412675
EOG81VNXT LOC105831553 LOC412620
EOG8RFPN1 LOC105827831 LOC725864
EOG8M94MC LOC105837456 LOC408722
EOG8R7Z5M LOC105837897 LOC410905
EOG8J6VKT LOC105837899 LOC725991
EOG8897GH LOC105829943 LOC408724
EOG8TQQ4K LOC105829942 LOC408723
EOG8DZ4Q2 LOC105839168 LOC410906
EOG808R3B LOC105839638 LOC410904
EOG88PQFB LOC105836975 LOC100577324
EOG8PRWKG LOC105834529 LOC726188
EOG8XD6KN LOC105835212 LOC551510
EOG8HMN55 LOC105835219 LOC551540
EOG818FHN LOC105834534 LOC408721
EOG8WWVDP LOC105829337 LOC102655801
EOG8WWVDP LOC105829337 LOC102655306
EOG8616ZP LOC105832105 LOC550745
EOG8K3PRM LOC105834281 LOC724131
EOG890B48 LOC105830225 LOC724215
EOG890B48 LOC105839555 LOC724215
EOG8WM7P6 LOC105832995 LOC551673
EOG8258NB LOC105837957 LOC551701
EOG8962M0 LOC105839989 LOC726394
EOG87Q11S LOC105836687 LOC409306
EOG8KWNNG LOC105836685 LOC411557
EOG8WDH6W LOC105835568 LOC409324
EOG818FGT LOC105839523 LOC412036
EOG8KPX59 LOC105838766 LOC552527
EOG89CT2W LOC105838146 LOC552548
EOG8K0THB LOC105834559 LOC412670
EOG80ZTSS LOC105828347 LOC727140
EOG8936D3 LOC105828349 LOC552608
EOG8MKRBQ LOC105828352 LOC726072
EOG8BVVPJ LOC105828350 LOC412690
EOG8W3WGT LOC105828351 LOC726100
EOG8XSPJG LOC105828353 LOC409543
EOG8XSPJF LOC105828882 LOC100576993
EOG82C146 LOC105828883 LOC412596
EOG8BS0FK LOC105837029 LOC551302
EOG86MFDG LOC105837058 LOC100576850
EOG84BDXN LOC105832431 LOC726253
EOG8SBHSX LOC105832430 LOC551403
EOG8V19VD LOC105832433 LOC726305
EOG8C5GCW LOC105835064 LOC409337
EOG85HVS6 LOC105829205 LOC551858
EOG8DRD77 LOC105829206 LOC409905
EOG8S1X2D LOC105840272 LOC551746
EOG8NS65Q LOC105840260 LOC409598
EOG8XKZ37 LOC105834382 LOC100576093
EOG847JNN LOC105834383 LOC100576135
EOG8NPB02 LOC105840635 LOC727131
EOG8F7RDM LOC105834941 LOC411052
EOG80ZTRT LOC105834926 LOC411053
EOG8C2M51 LOC105834937 LOC411054
EOG8KH5Q1 LOC105834935 LOC102654312
EOG87Q11W LOC105834934 LOC727092
EOG8KD9FW LOC105834932 LOC727085
EOG8JWZ7Z LOC105839049 LOC408820
EOG8WDH6H LOC105839051 LOC727071
EOG8Q87RX LOC105839050 LOC412472
EOG886C77 LOC105832878 LOC551775
EOG8B8N7D LOC105839044 LOC412129
EOG87H8J8 LOC105839028 LOC412130
EOG8TF3DJ LOC105839030 LOC412217
EOG81C9QT LOC105839031 LOC727027
EOG8WQ3XG LOC105832494 LOC551918
EOG8CRPTS LOC105832492 LOC411519
EOG8MWC20 LOC105831368 LOC100578006
EOG8M3D47 LOC105831364 LOC409774
EOG8WWVCT LOC105831366 LOC726989
EOG8WWVCT LOC105831366 LOC100577595
EOG83V2QW LOC105833177 LOC726980
EOG8JMBJ7 LOC105836802 LOC100578557
EOG8J143N LOC105827808 LOC726966
EOG83JG00 LOC105827813 LOC726949
EOG8FXV36 LOC105834800 LOC412471
EOG8MD0V6 LOC105838413 LOC412149
EOG8T4GPR LOC105838401 LOC550865
EOG8Q2H91 LOC105830580 LOC550920
EOG88SKP9 LOC105830578 LOC100576735
EOG8HB1DT LOC105835844 LOC413669
EOG81G60B LOC105828776 LOC551085
EOG81G60B LOC105835167 LOC551085
EOG8T4GQC LOC105831587 LOC411533
EOG8FN7D1 LOC105832888 LOC100576765
EOG8V463W LOC105832884 LOC551173
EOG8897GJ LOC105832883 LOC411531
EOG818FH2 LOC105829700 LOC411529
EOG8H756W LOC105836187 LOC726761
EOG85QM7Q LOC105836371 LOC726724
EOG87WRGZ LOC105835727 LOC102654965
EOG86MFDC LOC105835730 LOC408766
EOG8M0HWN LOC105832904 LOC412067
EOG866ZFF LOC105839042 LOC551599
EOG8SXR6R LOC105839041 LOC551629
EOG83NB7P LOC105839039 LOC552451
EOG8N5ZRB LOC105832877 LOC412662
EOG8CG33J LOC105832886 LOC726080
EOG84TS3Z LOC105832889 LOC107964351
EOG8ZW859 LOC105836192 LOC413936
EOG851HKW LOC105835644 LOC725942
EOG8K3PQX LOC105838118 LOC413727
EOG8R52XM LOC105829321 LOC725878
EOG8Q2H8Z LOC105829347 LOC411942
EOG8GMXRH LOC105832952 LOC551515
EOG8QZBG5 LOC105838472 LOC724983
EOG8030N6 LOC105831886 LOC551664
EOG8HMN4N LOC105827847 LOC413331
EOG8M0HWG LOC105838280 LOC412416
EOG8JQ6SX LOC105840970 LOC409495
EOG8NGKG7 LOC105829399 LOC411415
EOG8BCHH6 LOC105834074 LOC552614
EOG83NB7H LOC105837053 LOC412589
EOG8936CZ LOC105840215 LOC727471
EOG8CNTM1 LOC105840218 LOC727466
EOG8DZ4PQ LOC105832495 LOC727528
EOG8PVRT9 LOC105838095 LOC102655898
EOG8R26PD LOC105838091 LOC413638
EOG870XBS LOC105834087 LOC725269
EOG84QWVD LOC105831754 LOC725793
EOG8FR3N1 LOC105831749 LOC413508
EOG8Z91QW LOC105837067 LOC410084
EOG8KM1Z2 LOC105837068 LOC409560
EOG8GJ2J1 LOC105830862 LOC412221
EOG8DV8G0 LOC105830846 LOC409394
EOG8M0HW8 LOC105832488 LOC409316
EOG8TQQ4H LOC105832491 LOC412727
EOG8CG33Q LOC105829309 Gfat2
EOG8N5ZRJ LOC105833488 Camkii
EOG8QJVGM LOC105834819 LOC725546
EOG8PVRT4 LOC105833033 LOC411043
EOG8PVRT4 LOC105834698 LOC411043
EOG8MWC1F LOC105831306 LOC408815
EOG8MWC1F LOC105835053 LOC408815
EOG8WT05X LOC105833817 LOC551257
EOG8HDWPM LOC105836764 LOC411044
EOG8JHG9X LOC105836765 LOC551852
EOG81G5ZM LOC105831745 LOC102654465
EOG8QNQR1 LOC105828917 LOC725207
EOG8284W8 LOC105828916 LOC413400
EOG8WT04R LOC105840814 LOC413399
EOG8BS0FC LOC105835917 LOC408817
EOG88GZZF LOC105832847 LOC107964258
EOG8H4905 LOC105831708 LOC552171
EOG8G4KKH LOC105831707 LOC409794
EOG87Q11N LOC105833623 LOC724738
EOG8CG345 LOC105831052 LOC550671
EOG8XD6KX LOC105838709 LOC550748
EOG8962N1 LOC105831025 LOC550814
EOG83FKS9 LOC105837222 LOC102656291
EOG8ZSCXJ LOC105833845 LOC411640
EOG8X3KVV LOC105833848 LOC107964349
EOG8FXV3C LOC105832909 LOC102656142
EOG8004CP LOC105832907 LOC724383
EOG89S91S LOC105837145 LOC411047
EOG85TGGT LOC105837144 LOC408818
EOG83JG0J LOC105829905 LOC411048
EOG8PG8VN LOC105840631 LOC411048
EOG8W9MZR LOC105838260 LOC409174
EOG8SR0R6 LOC105838274 LOC409172
EOG8RBTD8 LOC105835102 LOC409173
EOG851HM9 LOC105838276 LOC102653955
EOG83V2PZ LOC105828317 LOC411619
EOG8RZ1TT LOC105828329 LOC409134
EOG85HVSG LOC105839515 LOC100576272
EOG879J39 LOC105833813 LOC552138
EOG8BZQZ5 LOC105834644 LOC102654345
EOG8X3KVM LOC105827812 LOC100578823
EOG8X3KVM LOC105837102 LOC100578823
EOG8R7Z5C LOC105833701 LOC551722
EOG8H756H LOC105840352 LOC725374
EOG80ZTRX LOC105835106 LOC551355
EOG8SBHSW LOC105838281 LOC725341
EOG85HVRQ LOC105829957 LOC726073
EOG8WQ3WV LOC105835500 LOC726044
EOG89PDTG LOC105835504 LOC409833
EOG8R7Z55 LOC105835502 LOC725992
EOG8GTP79 LOC105839762 LOC413440
EOG8TTKCJ LOC105833060 LOC551672
EOG8PVRTF LOC105833062 LOC725896
EOG8HX7VB LOC105839500 LOC551614
EOG8P8JDG LOC105830351 LOC725904
EOG8HTCMZ LOC105830356 Cbs
EOG8T4GPV LOC105831420 LOC411468
EOG8MD0VH LOC105831426 LOC107963962
EOG8NS66N LOC105830050 LOC102655796
EOG8WHCFN LOC105835646 LOC726726
EOG8Q87S5 LOC105835642 LOC409588
EOG8SFD26 LOC105830619 LOC100577876
EOG8WM7P0 LOC105840433 LOC411038
EOG8Q5CJR LOC105840434 LOC726410
EOG8HB1F6 LOC105827828 LOC102655153
EOG8QZBGN LOC105838249 LOC100576163
EOG8QZBGN LOC105838249 LOC100578460
EOG8BVVPG LOC105838018 LOC725701
EOG8ZPHPP LOC105838022 LOC100577562
EOG86436R LOC105838024 LOC413113
EOG8BCHGR LOC105838013 LOC725547
EOG8Q2H99 LOC105838021 LOC100578248
EOG8P2SXF LOC105831549 LOC100578672
EOG8STW13 LOC105838014 LOC409776
EOG8FXV44 LOC105838016 LOC551656
EOG879J32 LOC105838012 LOC725327
EOG80S39J LOC105831546 LOC725254
EOG8Q5CHW LOC105831697 LOC724830
EOG8RZ1VQ LOC105831699 LOC107964304
EOG85HVS8 LOC105831698 LOC408805
EOG8QG082 LOC105838768 LOC102654580
EOG8NW2DP LOC105837400 LOC411026
EOG87Q11G LOC105837409 LOC100576125
EOG8GXJGD LOC105833070 LOC724888
EOG8B01J0 LOC105829103 LOC102654975
EOG86DPX3 LOC105829568 LOC408808
EOG8P8JDH LOC105828744 LOC100576361
EOG80VZJK LOC105829584 LOC100578446
EOG822DD2 LOC105833809 LOC552077
EOG88KV5H LOC105833811 LOC724472
EOG81ZJ5D LOC105835539 LOC551012
EOG85B48W LOC105835537 LOC412703
EOG83BQH5 LOC105832020 LOC408809
EOG88D3QR LOC105840646 LOC724303
EOG8GMXRS LOC105829280 LOC107964259
EOG8K9F6T LOC105834103 LOC724429
EOG8K9F6T LOC105834104 LOC724429
EOG89GPBG LOC105834105 LOC413371
EOG8RNF42 LOC105836209 LOC409884
EOG8936CC LOC105829722 LOC409883
EOG8RJJX3 LOC105834224 LOC725253
EOG8GXJGC LOC105834212 LOC725208
EOG8B8N7Z LOC105834215 LOC100578579
EOG83XXXP LOC105834222 LOC100577492
EOG8B2WSN LOC105838017 LOC100577527
EOG84N1NP LOC105838019 LOC724717
EOG8X9BC6 LOC105837110 LOC725011
EOG876NTF LOC105837243 LOC724971
EOG87H8JB LOC105830254 LOC412801
EOG812Q0S LOC105831101 LOC408810
EOG83BQHH LOC105835023 LOC411030
EOG8T7BXQ LOC105835154 LOC724739
EOG8VMJ90 LOC105835149 LOC408811
EOG81NXGK LOC105835153 LOC100577976
EOG8JWZ85 LOC105835567 LOC100578714
EOG8JWZ85 LOC105835567 LOC100578098
EOG8RZ1TD LOC105835561 LOC724604
EOG8RZ1TD LOC105835561 LOC727619
EOG84XNB2 LOC105830032 LOC102655124
EOG84J5D1 LOC105835563 LOC102654736
EOG81G602 LOC105835564 LOC411036
EOG86MFD7 LOC105833174 LOC408803
EOG85F0J4 LOC105833175 LOC411024
EOG82Z7KR LOC105831371 LOC551126
EOG8Z0F1N LOC105831372 LOC725646
EOG8Z3980 LOC105829082 LOC408804
EOG8GBB1W LOC105830600 LOC100578168
EOG8SBHS9 LOC105837725 LOC100578201
EOG8NCQ7F LOC105837727 LOC725832
EOG8NKFQZ LOC105838244 LOC552635
EOG86T5VZ LOC105838238 LOC409596
EOG8MWC1B LOC105836513 LOC411023
EOG8B5S0T LOC105836195 LOC724430
EOG8XKZ25 LOC105829932 LOC408801
EOG8VDSTD LOC105833773 LOC724368
EOG8KM1ZK LOC105835672 LOC408799
EOG869TPD LOC105835669 LOC102656444
