Gene,SwissProt,UniProt,L2,L3,L4,L5,Head,Gaster,Larval,Overall,Fixed Synonymous,Fixed Non-Synonymous,Polymorphic Synonymous,Polymorphic Non-Synonymous,Number Synonymous,Number Non-Synonymous,BSnIPRE.class,BSnIPRE.est,BSnIPRE.gamma,NI.class,NI.class.BFcorrect,MKtest P-value,"""-LOG(Neutrality Index)""",Raw PS,PS1,PS2
LOC105828552,Ubiquitin-fold modifier-conjugating enzyme 1,Ubiquitin-fold modifier-conjugating enzyme 1,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,14,4,1,1,119.6666667,387.3333333,neut,0.14571146,0.198147671,neut,neut,1,-1.252762968,Eukaryota,eukaryote,eukaryote
LOC105828553,Chloride channel CLIC-like protein 1,Chloride channel CLIC-like protein,NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,Reproductive,30,20,14,12,345.3333333,1022.666667,neut,-0.247690914,-0.321738561,neut,neut,0.786672195,-0.251314428,Bilateria,bilaterian,bilaterian
LOC105828554,Venom carboxylesterase-6,Carboxylic ester hydrolase,NDE,NDE,Reproductive,Reproductive,Worker,NDE,Reproductive,Reproductive,115,43,9,9,472,1349,neut,-0.396553893,-0.475391314,neut,neut,0.082763754,-0.983732013,cellular organisms,cellular,cellular
LOC105828555,-,Putative uncharacterized protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105828556,-,Uncharacterized protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105828557,tRNA-splicing ligase RtcB homolog,tRNA-splicing ligase RtcB homolog,NDE,NDE,NDE,Reproductive,Reproductive,Reproductive,NDE,Reproductive,57,12,10,4,398.3333333,1122.666667,neut,-0.16717419,-0.21253667,neut,neut,0.551607362,-0.641853886,cellular organisms,cellular,cellular
LOC105828558,-,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105828559,Beta-amyloid-like protein,Beta-amyloid-like protein,NDE,NDE,NDE,NDE,Worker,NDE,Worker,Worker,57,0,9,0,321.6666667,875.3333333,neut,0.303096575,0.429880353,NA,NA,NA,NA,Metazoa,bilaterian,bilaterian
LOC105828560,Zinc finger protein Noc,Zinc finger protein Elbow (Fragment),NDE,NDE,NDE,NDE,Worker,Worker,NDE,Worker,28,4,5,0,323.6666667,621.3333333,neut,0.50587963,0.763669994,NA,NA,NA,NA,Protostomia,bilaterian,bilaterian
LOC105828561,Vascular endothelial growth factor receptor 1,Receptor protein-tyrosine kinase,NDE,NDE,NDE,Reproductive,Worker,NDE,NDE,NDE,132,74,32,12,1075.666667,3154.333333,neut,0.387500297,0.569051958,neut,neut,0.356757351,0.402092424,cellular organisms,cellular,cellular
LOC105828562,Zinc transporter 10,Uncharacterized protein,NDE,NDE,NDE,NDE,NDE,Worker,NDE,Worker,92,25,32,3,425.3333333,1128.666667,neut,0.805474528,1.376190042,neut,neut,0.142971198,1.064210862,cellular organisms,cellular,cellular
LOC105828563,Homocysteine S-methyltransferase 2,Putative uncharacterized protein (Fragment),NDE,NDE,Worker,NDE,Worker,NDE,NDE,Worker,8,6,3,0,254.6666667,702.3333333,neut,0.541469934,0.836459172,NA,NA,NA,NA,cellular organisms,cellular,cellular
LOC105828564,-,Uncharacterized protein,NDE,NDE,Worker,NDE,Worker,NDE,NDE,NDE,15,4,2,0,105.3333333,305.6666667,neut,0.586501414,0.904442796,NA,NA,NA,NA,Eumetazoa,bilaterian,bilaterian
LOC105828565,-,Odorant receptor,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105828566,-,Uncharacterized protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105828567,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,NDE,Reproductive,91,59,18,13,1349.666667,3456.333333,neut,-0.02712004,-0.035616788,neut,neut,0.945844901,-0.107899662,Eukaryota,eukaryote,eukaryote
LOC105828568,ABC transporter G family member 20,ABC transporter G family member 20,NDE,Worker,Worker,Worker,Worker,Reproductive,Worker,NDE,190,57,40,9,699.3333333,1718.666667,neut,0.343551903,0.496117518,neut,neut,0.592204904,0.287682072,cellular organisms,cellular,cellular
LOC105828569,-,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,Worker,NDE,NDE,Worker,16,11,1,1,122,388,neut,0.476463914,0.707968245,neut,neut,1,-0.374693449,Protostomia,bilaterian,bilaterian
LOC105828570,ABC transporter G family member 20,ABC transporter G family member 20 (Fragment),NDE,Reproductive,Reproductive,Reproductive,Worker,NDE,Reproductive,Reproductive,208,319,90,30,579.3333333,1577.666667,pos,1.412440193,3.238035353,pos,pos,3.76E-12,1.526265312,cellular organisms,cellular,cellular
LOC105828572,-,-,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105828573,-,Uncharacterized protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105828574,Alpha-tocopherol transfer protein,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,Worker,Worker,NDE,Worker,5,8,18,16,217.3333333,709.6666667,neut,-0.290201709,-0.456374782,neut,neut,0.574039341,0.587786665,Eukaryota,eukaryote,eukaryote
LOC105828575,-,Putative uncharacterized protein (Fragment),Worker,NDE,NDE,NDE,Worker,Worker,NDE,Worker,7,1,2,0,98.33333333,276.6666667,neut,0.257028183,0.364576754,NA,NA,NA,NA,Arthropoda,insect,insect
LOC105828576,Alpha-tocopherol transfer protein,Alpha-tocopherol transfer protein,NDE,NDE,NDE,NDE,Worker,Reproductive,NDE,NDE,29,26,8,8,223,665,neut,0.009318269,0.012469678,neut,neut,1,-0.109199292,Eukaryota,eukaryote,eukaryote
LOC105828577,Alpha-tocopherol transfer protein-like,Putative uncharacterized protein (Fragment),NDE,Reproductive,Reproductive,NDE,Worker,NDE,Reproductive,Reproductive,20,18,5,3,243.3333333,725.6666667,neut,0.32499408,0.468437639,neut,neut,0.90540258,0.405465108,Eukaryota,eukaryote,eukaryote
LOC105828578,Alpha-tocopherol transfer protein,Alpha-tocopherol transfer protein,NDE,NDE,NDE,NDE,Worker,Worker,NDE,NDE,9,12,33,39,222.6666667,698.3333333,neut,-0.438659874,-0.766811133,neut,neut,1,0.120627988,Eukaryota,eukaryote,eukaryote
LOC105828579,Alpha-tocopherol transfer protein-like,Putative uncharacterized protein (Fragment),NDE,NDE,Reproductive,NDE,Worker,NDE,Reproductive,Reproductive,26,18,12,8,228.3333333,695.6666667,neut,0.004143999,0.005671234,neut,neut,1,0.037740328,Eukaryota,eukaryote,eukaryote
LOC105828580,ABC transporter G family member 20,Putative uncharacterized protein (Fragment),NDE,NDE,Reproductive,Reproductive,Worker,NDE,Reproductive,NDE,109,12,19,2,653,1666,neut,0.252319653,0.353483941,neut,neut,1,0.044850566,cellular organisms,cellular,cellular
LOC105828581,V-type proton ATPase 116 kDa subunit a isoform 1,V-type proton ATPase subunit a,NDE,NDE,NDE,NDE,Worker,NDE,NDE,NDE,294,28,40,0,672.6666667,1874.333333,pos,1.250667839,2.512731215,NA,NA,NA,NA,cellular organisms,cellular,cellular
LOC105828582,-,Uncharacterized protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,18,5,2,2,143,403,neut,-0.133126813,-0.17023611,neut,neut,0.567109629,-1.280933845,Arthropoda,insect,insect
LOC105828583,Glycerol-3-phosphate dehydrogenase  NAD( )   cytoplasmic,Glycerol-3-phosphate dehydrogenase  NAD( ) ,NDE,NDE,Reproductive,Reproductive,Worker,Worker,Reproductive,Reproductive,60,5,14,0,282.6666667,800.3333333,neut,0.654598103,1.041553167,NA,NA,NA,NA,cellular organisms,cellular,cellular
LOC105828584,Peroxiredoxin-6,Putative uncharacterized protein (Fragment),NDE,Worker,Reproductive,NDE,Worker,NDE,NDE,NDE,20,2,5,0,175,488,neut,0.377677246,0.551616849,NA,NA,NA,NA,cellular organisms,cellular,cellular
LOC105828585,Glycerol-3-phosphate dehydrogenase  NAD( )   cytoplasmic,Glycerol-3-phosphate dehydrogenase  NAD( ) ,NDE,NDE,Reproductive,NDE,Worker,NDE,Reproductive,NDE,23,10,7,4,370.6666667,988.3333333,neut,-0.068416883,-0.090370298,neut,neut,1,-0.273293335,cellular organisms,cellular,cellular
LOC105828586,Ras guanine nucleotide exchange factor J,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105828587,-,Uncharacterized protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105828588,Pre-mRNA-splicing factor CWC22 homolog,Nucampholin,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105828589,Harmonin,Uncharacterized protein,NDE,NDE,Worker,Worker,Worker,NDE,Worker,Worker,78,53,30,6,833.6666667,2001.333333,pos,0.956886107,1.743756066,pos,neut,0.014358752,1.223020999,Opisthokonta,bilaterian,bilaterian
LOC105828590,Acyl-CoA-binding protein homolog,Uncharacterized protein,NDE,NDE,Worker,Worker,NDE,NDE,Worker,NDE,22,16,0,2,63.33333333,200.6666667,neut,0.315148026,0.444011623,NA,NA,NA,NA,cellular organisms,cellular,cellular
LOC105828591,Tudor domain-containing protein 3,Uncharacterized protein,NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,NDE,72,22,6,0,537.6666667,1529.333333,neut,0.995955657,1.77368348,NA,NA,NA,NA,Eukaryota,eukaryote,eukaryote
LOC105828592,Apoptosis-inducing factor 3,Putative uncharacterized protein (Fragment),NDE,NDE,Reproductive,Reproductive,Worker,NDE,Reproductive,NDE,111,44,15,10,463,1307,neut,-0.219602492,-0.27429948,neut,neut,0.346892369,-0.519875459,cellular organisms,cellular,cellular
LOC105828593,Tetraspanin-11,Tetraspanin,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,2,1,0,0,70.33333333,175.6666667,neut,0.153084165,0.211047034,NA,NA,NA,NA,cellular organisms,cellular,cellular
LOC105828594,Tudor domain-containing protein 3,Uncharacterized protein,NDE,Worker,Worker,Worker,Worker,NDE,Worker,Worker,36,2,9,0,198.3333333,527.6666667,neut,0.491066076,0.741575787,NA,NA,NA,NA,Opisthokonta,bilaterian,bilaterian
LOC105828595,Apoptosis-inducing factor 3,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,10,4,2,0,81.66666667,242.3333333,neut,0.60523983,0.943668269,NA,NA,NA,NA,Bilateria,bilaterian,bilaterian
LOC105828597,Phospholipid-transporting ATPase IA,Phospholipid-transporting ATPase,NDE,NDE,NDE,NDE,Worker,NDE,NDE,Worker,638,174,192,33,1095.666667,2894.333333,pos,0.465590374,0.706166353,pos,neut,0.03145975,0.461704826,cellular organisms,cellular,cellular
LOC105828598,Ephexin-1,Ephexin-1,NDE,NDE,NDE,NDE,Reproductive,Reproductive,NDE,Reproductive,244,186,86,27,1291,3227,pos,0.831771163,1.44056475,pos,neut,0.000269475,0.887088879,Eukaryota,eukaryote,eukaryote
LOC105828599,-,-,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105828600,Probable cytochrome P450 4aa1,Cytochrome P450 4V3,NDE,NDE,NDE,NDE,NDE,Worker,NDE,NDE,5,32,3,2,161,433,neut,0.964207129,1.739588944,neut,neut,0.060397672,2.261763098,Opisthokonta,bilaterian,bilaterian
LOC105828601,Cytokine receptor,Uncharacterized protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,79,24,17,7,1242,3339,neut,-0.139301691,-0.179163018,neut,neut,0.734892391,-0.304090827,Opisthokonta,bilaterian,bilaterian
LOC105828602,Rho GTPase-activating protein 190,Rho GTPase-activating protein 190,NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,NDE,1017,81,133,18,1302,3717,neut,-0.356808648,-0.432596306,neut,neut,0.075553839,-0.530185871,Eukaryota,eukaryote,eukaryote
LOC105828603,Ras-like GTP-binding protein Rho1,Uncharacterized protein,NDE,NDE,NDE,NDE,Worker,NDE,NDE,NDE,45,0,54,0,168,474,neut,0.587758996,1.043814522,NA,NA,NA,NA,cellular organisms,cellular,cellular
LOC105828604,Membrane-associated guanylate kinase  WW and PDZ domain-containing protein 2,Uncharacterized protein,NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,NDE,172,12,40,0,847.6666667,2293.333333,neut,0.925578659,1.632925721,NA,NA,NA,NA,Eukaryota,eukaryote,eukaryote
LOC105828605,Putative adenosylhomocysteinase 3,Adenosylhomocysteinase,NDE,NDE,NDE,Reproductive,NDE,NDE,NDE,NDE,120,0,21,3,434,1165,neut,-0.685227708,-0.791778477,NA,NA,NA,NA,cellular organisms,cellular,cellular
LOC105828606,Senecionine N-oxygenase,Putative uncharacterized protein (Fragment),NDE,NDE,Reproductive,Reproductive,NDE,NDE,Reproductive,Reproductive,134,56,58,12,338.6666667,921.3333333,pos,0.639140085,1.043551423,neut,neut,0.064644971,0.703048252,cellular organisms,cellular,cellular
LOC105828607,Transmembrane emp24 domain-containing protein 5,Uncharacterized protein,NDE,NDE,Worker,Worker,NDE,NDE,Worker,Worker,11,4,4,0,180.3333333,512.6666667,neut,0.490741956,0.746747331,NA,NA,NA,NA,Eukaryota,eukaryote,eukaryote
LOC105828608,RNA exonuclease 4,RNA exonuclease 4,NDE,NDE,NDE,NDE,Reproductive,Reproductive,NDE,Reproductive,56,29,3,9,224.3333333,618.6666667,neut,-0.641400567,-0.737596227,neg,neut,0.016396501,-1.756668149,Eukaryota,eukaryote,eukaryote
LOC105828609,Protein disulfide-isomerase A3,Protein disulfide-isomerase (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,51,10,6,1,373.3333333,1102.666667,neut,0.347051668,0.496164777,neut,neut,1,0.162518929,cellular organisms,cellular,cellular
LOC105828610,Mitogen-activated protein kinase kinase kinase 12,Mitogen-activated protein kinase kinase kinase 12,NDE,NDE,NDE,Worker,Reproductive,NDE,NDE,NDE,112,26,26,0,796.3333333,1978.666667,pos,1.285666927,2.661779194,NA,NA,NA,NA,cellular organisms,cellular,cellular
LOC105828611,Armadillo repeat-containing protein 1,Putative uncharacterized protein,NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,Reproductive,13,2,5,1,230.6666667,606.3333333,neut,0.001610706,0.002169796,neut,neut,1,-0.262364264,Opisthokonta,bilaterian,bilaterian
LOC105828612,Cationic amino acid transporter 4,Cationic amino acid transporter 4,NDE,NDE,NDE,NDE,Worker,Worker,NDE,Worker,29,10,5,1,567.3333333,1310.666667,neut,0.352332872,0.508732485,neut,neut,1,0.544727175,cellular organisms,cellular,cellular
LOC105828613,-,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,Reproductive,Reproductive,NDE,Reproductive,0,0,17,30,245.6666667,717.3333333,neg,-1.578345012,-5.620606131,NA,NA,NA,NA,Formicidae,ant,hymenopteran_ant
LOC105828614,-,Putative uncharacterized protein,NDE,NDE,Worker,NDE,Worker,NDE,NDE,NDE,4,0,4,1,86,256,neut,-0.266854583,-0.349753971,NA,NA,NA,NA,Aculeata,ant,hymenopteran_ant
LOC105828615,-,-,NDE,NDE,NDE,NDE,Worker,NDE,NDE,Worker,0,0,0,3,85.33333333,226.6666667,neut,-1.046107295,-1.241253623,NA,NA,NA,NA,Monomorium pharaonis,ant,hymenopteran_ant
LOC105828616,-,La-related protein 7,NDE,NDE,NDE,NDE,Reproductive,Reproductive,NDE,Reproductive,15,12,4,6,436.6666667,1468.333333,neut,-0.32309264,-0.405722284,neut,neut,0.638064254,-0.628608659,Bilateria,bilaterian,bilaterian
LOC105828617,Protein CREG1,Protein CREG1,NDE,NDE,NDE,NDE,NDE,Worker,NDE,NDE,0,0,5,12,95.66666667,273.3333333,neg,-1.512647778,-2.318379801,NA,NA,NA,NA,Eukaryota,eukaryote,eukaryote
LOC105828618,Probable H/ACA ribonucleoprotein complex subunit 1,H/ACA ribonucleoprotein complex subunit 1,NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,NDE,28,12,11,6,185.3333333,438.6666667,neut,-0.121242549,-0.15965609,neut,neut,0.934682464,-0.241162057,Eukaryota,eukaryote,eukaryote
LOC105828619,-,Uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105828620,Solute carrier family 28 member 3,Sodium/nucleoside cotransporter,NDE,NDE,NDE,NDE,Worker,NDE,NDE,NDE,92,71,10,2,509.3333333,1308.666667,pos,1.096305739,2.042971462,neut,neut,0.128511774,1.350329212,cellular organisms,cellular,cellular
LOC105828621,Ceramide-1-phosphate transfer protein,Glycolipid transfer protein domain-containing protein 1,NDE,NDE,Worker,NDE,NDE,NDE,NDE,NDE,2,0,0,0,161.6666667,474.3333333,neut,-0.12671672,-0.16512845,NA,NA,NA,NA,Eukaryota,eukaryote,eukaryote
LOC105828622,Zinc finger protein 420,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,Reproductive,144,22,25,2,568,1751,neut,0.603203557,0.937580566,neut,neut,0.589712994,0.646957798,cellular organisms,cellular,cellular
LOC105828623,-,Putative uncharacterized protein,NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,Reproductive,59,161,0,3,247,782,pos,1.033411688,1.856620054,NA,NA,NA,NA,Neoptera,ant,hymenopteran_ant
LOC105828624,Echinoderm microtubule-associated protein-like CG42247,Echinoderm microtubule-associated protein-like,NDE,NDE,NDE,NDE,NDE,Worker,NDE,NDE,150,19,28,1,975.6666667,2351.333333,neut,0.740241757,1.208869212,neut,neut,0.340413534,1.266008195,cellular organisms,cellular,cellular
LOC105828625,7SK snRNA methylphosphate capping enzyme,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,Reproductive,92,38,12,7,562,1592,neut,-0.032736271,-0.042604105,neut,neut,0.683647698,-0.345205917,Eukaryota,eukaryote,eukaryote
LOC105828627,Zinc finger CW-type PWWP domain protein 1,Zinc finger CW-type PWWP domain protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105828628,Zinc finger protein 112,Uncharacterized protein,NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,Reproductive,17,17,5,3,542.3333333,1674.666667,neut,0.282906585,0.405232872,neut,neut,0.80759279,0.510825624,cellular organisms,cellular,cellular
LOC105828631,Retrovirus-related Pol polyprotein from transposon 17.6,Retrovirus-related Pol polyprotein from transposon 17.6 (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105828632,PiggyBac transposable element-derived protein 4,Putative transposase (Fragment),NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,Reproductive,31,43,6,0,508,1550,pos,1.372690345,2.945196813,NA,NA,NA,NA,Eukaryota,eukaryote,eukaryote
LOC105828633,Nucleoredoxin,Nucleoredoxin,NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,NDE,28,7,3,0,366,978,neut,0.596191818,0.920786129,NA,NA,NA,NA,cellular organisms,cellular,cellular
LOC105828634,-,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105828635,Arrestin  lateral eye,Phosrestin-2 (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,44,10,14,10,330,864,neut,-0.738587062,-0.8693804,neut,neut,0.060108984,-1.145132304,Opisthokonta,bilaterian,bilaterian
LOC105828636,Krueppel-like factor 7,Krueppel-like factor 7,NDE,NDE,NDE,Worker,NDE,NDE,NDE,NDE,2,2,9,0,253.6666667,598.3333333,neut,0.320937699,0.511233145,NA,NA,NA,NA,Metazoa,bilaterian,bilaterian
LOC105828637,Glutamate receptor ionotropic  kainate 3,Glutamate receptor  ionotropic kainate 2,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105828638,Uncharacterized protein KIAA0232,Uncharacterized protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,54,15,12,0,500.6666667,1233.333333,neut,0.958878746,1.707995888,NA,NA,NA,NA,Bilateria,bilaterian,bilaterian
LOC105828639,Tyramine receptor 1,Putative tyramine receptor 2,NDE,NDE,NDE,NDE,NDE,Worker,NDE,Worker,33,3,5,1,372.6666667,842.3333333,neut,0.028454064,0.037715121,neut,neut,1,-0.78845736,Metazoa,bilaterian,bilaterian
LOC105828640,BUB3-interacting and GLEBS motif-containing protein ZNF207,Zinc finger protein 207,NDE,NDE,NDE,NDE,Worker,NDE,NDE,NDE,71,6,21,4,419.6666667,1089.333333,neut,-0.269540683,-0.341156263,neut,neut,0.416771726,-0.812692331,Eukaryota,eukaryote,eukaryote
LOC105828641,Cell division control protein 45 homolog,CDC45-related protein,NDE,NDE,NDE,NDE,Reproductive,Reproductive,NDE,Reproductive,33,4,4,2,463,1241,neut,-0.247043524,-0.308470144,neut,neut,0.399881256,-1.41706602,Eukaryota,eukaryote,eukaryote
LOC105828642,Zinc finger protein 423,Uncharacterized protein,NDE,NDE,NDE,NDE,Reproductive,Reproductive,NDE,Reproductive,14,6,4,1,237.6666667,737.3333333,neut,0.296667088,0.426127139,neut,neut,1,0.538996501,Bilateria,bilaterian,bilaterian
LOC105828643,Ubiquitin-protein ligase E3B,Ubiquitin-protein ligase E3B,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,69,2,10,0,925,2288,neut,0.297074035,0.420065748,NA,NA,NA,NA,Eukaryota,eukaryote,eukaryote
LOC105828644,Protein deltex,Protein deltex,NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,Reproductive,53,7,16,2,443.6666667,1155.333333,neut,0.163017335,0.226762985,neut,neut,1,0.055059777,Eukaryota,eukaryote,eukaryote
LOC105828646,FYVE  RhoGEF and PH domain-containing protein 2,E3 ubiquitin-protein ligase Topor,NDE,NDE,NDE,NDE,Reproductive,Reproductive,NDE,Reproductive,26,22,11,0,434,1159,pos,1.246040068,2.565901206,NA,NA,NA,NA,Eukaryota,eukaryote,eukaryote
LOC105828647,Serine-threonine kinase receptor-associated protein,Serine-threonine kinase receptor-associated protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,22,4,4,0,255.3333333,737.6666667,neut,0.523895302,0.79555016,NA,NA,NA,NA,cellular organisms,cellular,cellular
LOC105828648,Peroxidasin,Peroxidasin,NDE,NDE,Reproductive,NDE,NDE,NDE,NDE,NDE,78,21,29,3,1220.333333,2988.666667,neut,0.628742316,1.012183869,neut,neut,0.214252802,0.956497152,cellular organisms,cellular,cellular
LOC105828649,Nucleolysin TIA-1,Putative uncharacterized protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105828650,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,Uncharacterized protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105828651,Transposable element Tc3 transposase,Transposable element Tc3 transposase (Fragment),NDE,NDE,Worker,NDE,Worker,NDE,NDE,NDE,0,0,0,7,121.6666667,328.3333333,neg,-1.575789588,-1.902131915,NA,NA,NA,NA,Eukaryota,eukaryote,eukaryote
LOC105828652,-,Putative uncharacterized protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105828653,Ribosome maturation protein SBDS,Uncharacterized protein,NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,Reproductive,26,10,5,1,193,572,neut,0.514935704,0.780377439,neut,neut,0.942890211,0.653926467,cellular organisms,cellular,cellular
LOC105828654,Transmembrane protein 8A,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,Worker,Worker,NDE,NDE,266,112,81,36,633.6666667,1541.333333,neut,-0.030284381,-0.040314673,neut,neut,0.904685555,-0.054067221,Eukaryota,eukaryote,eukaryote
LOC105828655,Protein O-mannosyl-transferase 2,Protein O-mannosyl-transferase 2,NDE,NDE,NDE,NDE,Reproductive,NDE,NDE,NDE,86,6,41,9,589.3333333,1552.666667,neut,-0.651212641,-0.794909679,neut,neut,0.065820409,-1.146240338,cellular organisms,cellular,cellular
LOC105828656,N-acetyltransferase 6,N-acetyltransferase 6,NDE,NDE,Reproductive,Reproductive,Worker,NDE,Reproductive,NDE,30,18,33,6,185.3333333,477.6666667,neut,0.753057678,1.374185806,pos,neut,0.039967187,1.193922468,Eukaryota,eukaryote,eukaryote
LOC105828657,L-asparaginase,Putative uncharacterized protein (Fragment),NDE,NDE,Reproductive,Reproductive,Worker,NDE,Reproductive,Reproductive,46,14,21,5,558.6666667,1376.333333,neut,0.152505598,0.215480747,neut,neut,0.890086385,0.245500458,cellular organisms,cellular,cellular
LOC105828658,-,Uncharacterized protein,NDE,NDE,Reproductive,NDE,Worker,NDE,Reproductive,Reproductive,16,13,11,1,190.3333333,475.6666667,neut,0.934533198,1.710347476,neut,neut,0.060079666,2.190255908,Endopterygota,ant,hymenopteran_ant
LOC105828660,Cob(I)yrinic acid a c-diamide adenosyltransferase  mitochondrial,Putative uncharacterized protein (Fragment),NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,23,0,4,0,191,484,neut,0.21155925,0.293588627,NA,NA,NA,NA,cellular organisms,cellular,cellular
LOC105828661,-,Uncharacterized protein,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105828662,-,Mevalonate kinase,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC105828663,Ejaculatory bulb-specific protein 3,Uncharacterized protein,NDE,NDE,NDE,NDE,Worker,Reproductive,NDE,NDE,9,30,2,4,75.66666667,287.3333333,neut,0.50263761,0.761018112,neut,neut,0.972866232,0.510825624,Pancrustacea,insect,insect
